Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Crispy Sandwich,228,570,25,4,0,45,990,65,3,9,20
Kings Hawaiian Deluxe Sandwich,301,690,34,10,0.5,105,1000,74,2,19,25
White Cheddar Mac & Cheese (Side),227,510,29,17,1,80,1120,44,1,13,20
Mint Chocolate Shake (Snack),252,340,8,5,0,30,190,57,0,52,8
Mint Chocolate Shake with Andes Candy Pieces (Small),429,660,22,16,0,55,320,102,1,93,14
Mint Chocolate Shake with Andes Candy Pieces (Medium),602,890,28,19,0.5,75,460,141,1,128,19
Mint Chocolate Shake with Andes Candy Pieces (Large),775,1130,36,25,0.5,100,600,177,1,161,25
Smokehouse Brisket,203,600,35,12,1,100,1250,42,3,8,34
Loaded Italian,300,630,35,12,0,90,2370,49,3,7,29
Reuben,308,680,31,8,0.5,80,2420,62,4,5,37
Greek Gyro,273,710,44,13,0,75,1360,55,4,6,23
Roast Beef Gyro,273,550,29,7,1,60,1290,48,3,5,24
Roast Turkey Gyro,273,470,20,3.5,0,45,1520,48,3,5,25
Roast Chicken Club Wrap,298,650,35,9,0.5,105,1370,47,4,12,41
Jalapeo Bacon Ranch Roast Chicken Wrap,293,600,33,6,0,95,1480,42,4,7,37
Creamy Mediterranean Roast Chicken Wrap,273,540,30,5,0,80,1240,40,3,5,32
Turkey & Swiss Sandwich,326,720,28,7,0,65,1930,79,5,15,38
Turkey & Swiss Wrap,280,530,25,7,0,65,1590,42,3,6,37
"Turkey, Ranch & Bacon Sandwich",344,810,35,10,0.5,80,2420,79,5,16,45
"Turkey, Ranch & Bacon Wrap",298,630,32,9,0.5,85,2080,43,3,7,44
Roast Chicken Salad,304,250,14,7,0,75,690,8,3,4,25
Crispy Chicken Salad,334,430,25,8,0,75,1170,27,4,4,28
Side Salad,133,70,5,2.5,0,15,110,4,1,2,5
Light Italian Dressing,43,15,1,0,0,0,730,2,0,2,0
Dijon Honey Mustard Dressing,43,180,16,2.5,0,15,230,7,0,7,0
Balsamic Vinaigrette Dressing,43,130,12,2,0,0,470,4,0,4,0
Buttermilk Ranch Dressing,43,210,22,3.5,0,10,330,2,0,1,0
Roast Chicken Bacon Swiss,261,480,21,8,0,95,1140,39,3,10,34
Chicken Bacon Swiss,268,610,30,9,0,85,1510,51,5,10,35
Classic Roast Chicken,229,370,16,3.5,0,65,860,35,3,7,24
Classic Chicken,235,510,25,5,0,55,1230,48,4,7,24
Roast Buffalo Chicken,217,360,14,3.5,0,65,1490,36,3,7,24
Buffalo Chicken,224,500,23,4.5,0,55,1860,49,4,7,24
Chicken Tenders (3),129,370,18,3,0,60,1190,28,2,0,23
Chicken Tenders (5),215,610,30,4.5,0,100,1990,47,3,0,39
Tangy Barbeque Dipping Sauce,28,45,0,0,0,0,360,10,0,8,0
Buffalo Dipping Sauce,28,10,1,0,0,0,720,2,0,0,0
Honey Mustard Dipping Sauce,28,130,13,2,0,10,160,5,0,4,0
Ranch Dipping Sauce,28,100,10,2,0,15,135,1,0,1,1
Classic Beef n Cheddar,195,450,20,6,1,50,1280,45,2,9,23
Double Beef n Cheddar,301,630,32,11,1.5,100,2100,48,2,9,39
Half Pound Beef n Cheddar,358,740,39,14,2,130,2530,48,2,9,49
Classic Roast Beef,154,360,14,5,0.5,50,970,37,2,5,23
Double Roast Beef,239,510,24,9,1.5,95,1610,38,2,5,38
Half Pound Roast Beef,295,610,30,12,2,130,2040,38,2,5,48
Arbys Sauce,14,15,0,0,0,0,180,3,0,2,0
Horsey Sauce,14,60,5,1,0,5,150,3,0,2,0
Classic French Dip & Swiss,327,540,22,10,1,85,2550,51,2,3,34
Buffalo Chicken Slider,105,300,14,2,0,25,940,31,1,2,12
Chicken Slider,92,270,11,2.5,0,25,700,30,1,1,13
Pizza Slider,87,280,16,6,0,30,940,22,1,2,12
Ham Slider,84,200,7,2.5,0,25,660,22,1,3,11
Jalapeo Roast Beef Slider,92,220,9,3.5,0,25,570,21,1,1,12
Roast Beef Slider,84,210,9,3.5,0,25,570,21,1,1,12
Turkey Slider,84,180,5,1.5,0,20,660,21,1,2,13
Mozzarella Sticks (4),137,440,23,9,0.5,35,1410,37,2,3,19
Mozzarella Sticks (6),206,650,35,14,1,55,2110,56,3,4,29
Marinara Sauce,28,20,0,0,0,0,170,4,1,3,1
Jalapeno Bites (5),110,290,17,6,0,25,660,31,2,3,5
Jalapeno Bites (8),176,470,27,10,0.5,40,1060,50,3,4,88
Bronco Berry Sauce,28,60,0,0,0,0,25,15,0,15,0
Loaded Curly Fries,226,670,44,8,0,30,1950,57,5,2,12
Curly Fries Snack,77,250,13,2,0,0,570,29,3,0,3
Curly Fries (Small),128,410,22,3,0,0,940,49,5,0,5
Curly Fries (Medium),170,550,29,4,0,0,1250,65,6,0,6
Curly Fries (Large),201,650,35,5,0,0,1480,77,7,0,8
Potato Cakes (2),100,250,14,2,0,0,430,23,2,0,2
Potato Cakes (3),150,370,21,3,0,0,650,35,4,0,3
Potato Cakes (4),200,490,28,4.5,0,0,860,46,5,0,4
Ketchup,9,10,0,0,0,0,85,3,0,2,0
Chocolate Shake (Snack),255,350,9,6,0,30,220,60,1,52,8
Chocolate Shake-(Small),413,590,18,12,0,55,350,95,1,83,13
Chocolate Shake-(Medium),587,830,24,16,0.5,75,500,134,1,118,19
Chocolate Shake-(Large),758,1050,32,21,0.5,100,650,169,2,149,25
Jamocha Handcrafted Shake (Snack),255,350,8,5,0,30,230,62,0,51,8
Jamocha Shake-(Small),413,590,17,11,0,55,360,97,1,82,13
Jamocha Shake-(Medium),587,830,23,15,0.5,75,510,137,1,116,19
Jamocha Shake-(Large),758,1060,31,20,0.5,100,650,172,1,147,24
Vanilla Shake (Snack),227,280,8,5,0,30,190,44,0,40,8
Vanilla Shake-(Small),376,490,17,11,0,55,310,72,0,66,13
Vanilla Shake-(Medium),534,690,23,15,0.5,75,440,103,0,95,18
Vanilla Shake-(Large),700,900,30,20,0.5,100,580,135,1,124,24
Salted Caramel & Chocolate Cookie,94,430,18,10,0,30,360,63,1,33,4
Triple Chocolate Cookie,95,450,21,13,0,40,370,60,2,31,5
Apple Turnover,128,430,18,9,0,0,210,65,2,39,4
Cherry Turnover,128,390,13,6,0,0,200,65,2,40,4
Chicken Tenders (2),86,240,12,2,0,40,800,19,1,0,15
Tree Top Applesauce,91,45,0,0,0,0,0,13,2,11,0
Curly Fries Kids,77,250,13,2,0,0,560,29,3,0,3
CapriSun Fruit Juice,185,80,0,0,0,0,25,21,0,20,0
Shamrock Farms Lowfat White Milk,214,90,2,1.5,0,10,105,10,0,10,7
Shamrock Farms Lowfat Chocolate Milk,218,150,2.5,1.5,0,10,170,26,1,23,7
Barqs Root Beer,22 oz,330,0,0,0,0,135+,90,0,90,0
Barqs Root Beer,22 oz,250,0,0,0,0,100+,67,0,67,0
Coca-Cola,22 oz,290,0,0,0,0,65+,80,0,80,0
Coca-Cola,22 oz,220,0,0,0,0,50+,60,0,60,0
Coca-Cola Zero Sugar,22 oz,0,0,0,0,0,75+,0,0,0,0
Coca-Cola Zero Sugar,22 oz,0,0,0,0,0,55+,0,0,0,0
Diet Coke,22 oz,0,0,0,0,0,95+,0,0,0,0
Diet Coke,22 oz,0,0,0,0,0,70+,0,0,0,0
Fanta Orange,22 oz,310,0,0,0,0,95+,84,0,84,0
Fanta Orange,22 oz,240,0,0,0,0,70+,63,0,63,0
Hi-C Flashin Fruit Punch,22 oz,310,0,0,0,0,105+,85,0,83,0
Hi-C Flashin Fruit Punch,22 oz,230,0,0,0,0,80+,63,0,62,0
Mello Yello,22 oz,310,0,0,0,0,90+,84,0,84,0
Mello Yello,22 oz,240,0,0,0,0,65+,63,0,63,0
Minute Maid Light Lemonade,22 oz,15,0,0,0,0,80+,0,0,0,0
Minute Maid Light Lemonade,22 oz,10,0,0,0,0,60+,0,0,0,0
POWERADE Mountain Berry Blast,22 oz,170,0,0,0,0,220+,44,0,44,0
POWERADE Mountain Berry Blast,22 oz,130,0,0,0,0,160+,33,0,33,0
Sprite,22 oz,290,0,0,0,0,130+,77,0,77,0
Sprite,22 oz,220,0,0,0,0,100+,58,0,58,0
Diet Dr Pepper,22 oz,0,0,0,0,0,140+,0,0,0,0
Diet Dr Pepper,22 oz,0,0,0,0,0,100+,0,0,0,0
Dr Pepper,22 oz,250,0,0,0,0,80+,72,0,72,0
Dr Pepper,22 oz,180,0,0,0,0,60+,52,0,52,0
Nestle Pure Life Bottled Water,479,0,0,0,0,0,0+,0,0,0,0
Brewed Iced Tea (Small) Cup,358,5,0,0,0,0,0+,1,0,0,0
CapriSun Fruit Juice,185,80,0,0,0,0,25,21,0,20,0
Sausage Biscuit,144,500,33,15,0,40,1450,36,1,3,12
Bacon Biscuit,104,340,17,10,0,15,1180,36,1,3,10
Ham Biscuit,140,340,16,9,0,30,1420,37,1,4,13
Chicken Biscuit,134,390,18,9,0,20,1330,44,2,2,13
"Bacon, Egg & Cheese Sourdough",170,490,23,8,0,155,1260,46,2,6,23
"Bacon, Egg & Cheese Croissant",139,440,27,13,0.5,185,1010,29,1,5,18
"Bacon, Egg & Cheese Biscuit",173,480,29,15,0,155,1720,38,1,5,18
"Bacon, Egg & Cheese Wrap",178,500,27,10,0,160,1370,42,4,5,20
"Sausage, Egg & Cheese Sourdough",210,640,39,13,0,185,1530,47,2,6,25
"Sausage, Egg & Cheese Croissant",178,590,44,19,0.5,215,1280,30,1,5,20
"Sausage, Egg & Cheese Biscuit",212,640,45,20,0,185,1990,39,1,5,20
"Sausage, Egg & Cheese Wrap",213,630,41,15,0,185,1550,42,4,5,20
"Ham, Egg & Cheese Sourdough",200,470,19,6,0,165,1370,47,2,6,26
"Ham, Egg & Cheese Croissant",169,420,23,11,0.5,195,1120,30,1,5,21
"Ham, Egg & Cheese Biscuit",203,470,25,12,0,165,1830,39,1,5,21
"Ham, Egg & Cheese Wrap",184,440,22,8,0,160,1280,42,4,5,17
Ham & Swiss Croissant,119,340,17,10,0,70,910,29,1,4,16
Bacon & Cheese Croissant,83,330,19,10,0,50,670,27,1,3,13
Sausage & Cheese Croissant,123,490,35,16,0,80,940,28,1,3,15
French Toast Sticks,128,350,10,1.5,0,0,250,57,5,13,7
Sausage Gravy Biscuit,261,480,28,13,0,20,1770,48,1,3,9
