Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
55+ Country-Fried Steak With Gravy & Dinner Bread (Add Side Choices),8 oz,226.8,,580,32,12,1.5,60,1350,53,2,3,21
55+ Grilled Cheese Sandwich & Soup (Add Soup Choice),6 oz,170.1,,550,26,11,0.5,40,1450,66,2,5,18
55+ Omelette With Hash Browns & White Toast,16 oz,453.59,,900,57,16,0.5,525,1910,60,2,5,34
55+ Scrambled Eggs & Cheddar Breakfast,17 oz,481.94,,1010,58,21,0,615,2530,80,3,21,41
55+ Starter (Add Egg & Meat Choices),7 oz,198.45,,420,18,3.5,0,0,860,54,1,2,7
55+ Wild Alaska Salmon With Dinner Bread (Add Side Choices),9 oz,255.15,,540,31,8,0,115,1300,27,1,2,37
"Balsamic Vinaigrette (Low-Fat, Condiments)",1.5 oz,,44.36,60,2,0,0,0,250,11,0,11,0
BBQ Sauce (Condiments),1.5 oz,,44.36,90,0,0,0,0,350,23,0,20,0
Blue Cheese Dressing (Condiments),1.5 oz,,44.36,150,16,3.5,0,25,320,2,0,0,2
Bourbon Sauce (Condiments),1 oz,,29.57,110,0,0,0,0,270,26,0,24,0
Brown Gravy (Condiments),1 oz,,29.57,10,0,0,0,0,130,2,0,0,0
Buffalo Sauce (Condiments),1.5 oz,,44.36,110,12,2,0,0,1010,1,0,0,0
Country Gravy (Condiments),1 oz,,29.57,20,1.5,0,0,0,105,2,0,0,0
Cream Cheese Icing (Condiments),1.5 oz,,44.36,150,4,2.5,0,5,45,28,0,27,0
Creamer - French Vanilla (Condiments),13 mL,,13,30,1,0.5,0,0,0,5,0,5,0
Croutons (Condiments),0.5 oz,,14.79,70,2.5,0,0,0,200,11,0,1,2
Diner Q Sauce (Condiments),1.5 oz,,44.36,220,21,3.5,0,15,310,9,0,8,0
French Dressing (Condiments),1.5 oz,,44.36,130,8,1.5,0,0,430,14,0,8,0
Honey Mustard Dressing (Condiments),1.5 oz,,44.36,190,15,2.5,0,15,200,12,0,7,0
"Italian Dressing (Fat-Free, Condiments)",1.5 oz,,44.36,20,0,0,0,0,410,4,0,3,0
Maple-Flavored Syrup (Condiments),2 oz,,59.15,220,0,0,0,0,40,54,0,29,0
"Maple-Flavored Syrup (Sugar-Free,  Condiments)",2 oz,,59.15,15,0,0,0,0,110,6,0,0,0
Pico De Gallo (Condiments),2 oz,,59.15,15,0,0,0,0,75,3,1,2,1
Ranch Dressing (Condiments),1.5 oz,,44.36,200,21,4,0,10,290,1,0,0,0
Sour Cream (Condiments),1 oz,,29.57,45,4,2,0,15,5,1,0,0,1
Thousand Island Dressing (Condiments),1.5 oz,,44.36,180,16,2.5,0,25,410,7,0,7,0
Tomato Sauce (Condiments),1.5 oz,,44.36,25,1,0,0,0,190,3,0,2,1
Whipped Margarine (Condiments),0.5 oz,,14.79,40,4.5,1.5,0,0,35,0,0,0,0
"Bacon Strips (Kid's Entrée, Build Your Own Jr. Grand Slam)",2 strips,,,100,8,3,0,20,350,1,0,1,7
"Bacon Strip & Sausage Link (Kid's Entrée, Build Your Own Jr. Grand Slam)",1 ea,,,130,12,4,0,30,350,1,0,1,6
"Egg, Boiled (Kid's Entrée, Build Your Own Jr. Grand Slam)",2 oz,56.7,,60,4,1.5,0,165,60,0,0,0,6
"Egg, Fried / Basted (Kid's Entrée, Build Your Own Jr. Grand Slam)",2 oz,56.7,,90,8,2,0,165,100,0,0,0,6
"Egg, Scrambled (Kid's Entrée, Build Your Own Jr. Grand Slam)",2 oz,56.7,,110,9,2.5,0,240,180,1,0,0,7
"Egg White (Kid's Entrée, Build Your Own Jr. Grand Slam)",2 oz,56.7,,40,0,0,0,0,115,0,0,0,7
"Hash Browns (Kid's Entrée, Build Your Own Jr. Grand Slam)",2 oz,56.7,,90,4,0.5,0,0,220,11,1,0,1
"Sausage Links (Kid's Entrée, Build Your Own Jr. Grand Slam)",2 links,,,160,15,5,0,40,340,0,0,0,6
"Silver Dollar Pancakes (Kid's Entrée, Build Your Own Jr. Grand Slam)",3 pancakes,,,190,7,2,0,25,550,29,1,8,4
"Toast, White, With Margarine (Kid's Entrée, Build Your Own Jr. Grand Slam)",1 slice,,,120,5,1,0,0,200,15,1,1,3
"Turkey Bacon Strips (Kid's Entrée, Build Your Own Jr. Grand Slam)",2 strips,,,70,4,1,0,30,330,1,0,1,7
"Jr. Anniversary Pancakes (Add Side, Kids Entrée)",3 pancakes,,,330,8,4,0,20,570,60,1,31,5
"Jr. Cheeseburger (Add Side, Kids Entrée)",6 oz,170.1,,470,25,12,1.5,95,1000,34,1,5,27
"Jr. Chocolate Chip Pancakes (Add Side,  Kids Entrée)",3 pancakes,,,220,6,3,0,20,510,38,2,15,5
"Jr. Mac & Cheese (Add Side,  Kids Entrée)",7 oz,198.45,,300,9,2.5,0,10,650,44,2,8,10
"Jr. Premium Chicken Tenders (Add Dipping Sauce & Side,  Kids Entrée)",2 tenders,,,270,16,2,0,40,1000,15,1,0,18
Add A Chicken Tender (Kids Entrée),1 tender,,,140,8,1,0,20,500,8,1,0,9
Fresh Banana Slices (Kids Side),1 serv,,,110,0,0,0,0,0,27,3,14,1
Fresh Vegetable Medley (Kids Side),1 serv,,,70,5,1,0,0,110,6,2,3,2
Goldfish Crackers (Kids Side),1 oz,28.35,,120,4,1,0,10,210,17,1,0,3
Grapes (Kids Side),3 oz,85.05,,60,0,0,0,0,0,14,1,12,1
Herb Glazed Corn (Kids Side),1 serv,,,300,18,3.5,0,0,280,30,8,13,6
"Jr. Garden Salad (Add Dressing Choice,  Kids Side)",3 oz,85.05,,80,2.5,0,0,0,210,13,1,2,2
"Red Rustic Mashed Potatoes (Add Optional Gravy Choice, Kids Side)",1 serv,,,250,11,7,0,35,940,32,8,5,5
"Chocolate (Kids Dessert, Jr. Ice Cream)",4 oz,113.4,,270,15,10,0,60,60,30,0,23,5
"Strawberry (Kids Dessert, Jr. Ice Cream)",4 oz,113.4,,230,12,7,0,50,85,32,0,22,3
"Vanilla (Kids Dessert, Jr. Ice Cream)",4 oz,113.4,,250,15,10,0,60,90,27,0,22,3
"Chocolate (Kids Dessert, Jr. Milk Shake)",12 oz,340.19,,680,32,21,0,120,160,89,0,70,12
"Oreo Blender Blaster (Kids Dessert, Jr. Milk Shake)",12 oz,340.19,,760,41,24,0,120,430,90,1,65,11
"Strawberry (Kids Dessert, Jr. Milk Shake)",12 oz,340.19,,550,26,16,0,105,200,77,1,56,9
"Vanilla (Kids Dessert, Jr. Milk Shake)",12 oz,340.19,,620,32,21,0,120,220,78,0,68,9
Lava Cookie Skillet (Dessert),9 oz,255.15,,820,40,25,0,140,460,108,0,73,10
New York Style Cheesecake Plain (Dessert),5 oz,141.75,,490,32,19,1,150,370,42,1,29,9
New York Style Cheesecake With Strawberry Topping & Whipped Cream (Dessert),7 oz,198.45,,560,33,19,1,150,370,57,1,42,9
Oven-Baked Caramel Apple Pie Crisp (Dessert),12 oz,340.19,,740,28,16,0,80,380,115,0,82,7
"Chocolate Milk (Reduced Fat, Drinks & Shake)",15 oz,,443.6,290,4.5,2,0,25,300,46,0,46,16
Coffee (Drinks & Shake),8 oz,,236.59,0,0,0,0,0,0,0,0,0,0
"Coffee, Sweet Cream Cold Brew (Drinks & Shake)",8 oz,,236.59,130,3,2,0,10,25,26,1,20,1
Fuze Raspberry Tea (Drinks & Shake),12 oz,,354.88,110,0,0,0,0,55,28,0,28,0
Hot Chocolate (Drinks & Shake),8 oz,,236.59,190,3,1.5,0,5,260,37,0,30,2
Hot Tea / Herbal Tea (Drinks & Shake),8 oz,,236.59,0,0,0,0,0,0,0,0,0,0
"Iced Tea (Unsweet, Drinks & Shake)",12 oz,,354.88,5,0,0,0,0,10,1,0,0,0
"Iced Tea (Sweet, Drinks & Shake)",12 oz,,354.88,160,0,0,0,0,10,40,0,39,0
"Apple (Drinks & Shake, Juice)",15 oz,,443.6,210,0,0,0,0,10,52,0,49,1
"Orange (Drinks & Shake, Juice)",15 oz,,443.6,210,0,0,0,0,0,51,0,45,3
"Ruby Red Grapefruit (Drinks & Shake, Juice)",15 oz,,443.6,240,0,0,0,0,65,60,0,60,2
"Tomato (Drinks & Shake, Juice)",15 oz,,443.6,90,0,0,0,0,1130,19,2,11,4
Lemonade (Drinks & Shake),12 oz,,354.88,150,0,0,0,0,0,40,0,37,0
Lemonade Iced Tea (Drinks & Shake),12 oz,,354.88,80,0,0,0,0,5,21,0,19,0
Mango Lemonade (Drinks & Shake),15 oz,,443.6,210,0,0,0,0,0,57,0,53,0
2% Milk (Drinks & Shake),15 oz,,443.6,230,9,6,0,35,220,22,0,22,15
"Chocolate (Drinks & Shake, Milk Shake)",16 oz,,473.18,870,43,28,0,160,220,111,0,87,17
"Oreo (Drinks & Shake, Milk Shake)",17 oz,,502.75,1050,56,32,0,160,610,125,2,90,15
"Strawberry (Drinks & Shake, Milk Shake)",17 oz,,502.75,780,34,22,0,140,270,114,0,86,12
"Vanilla (Drinks & Shake, Milk Shake)",16 oz,,473.18,800,43,28,0,160,290,97,0,84,12
"Mango (Drinks & Shake, Smoothies)",15 oz,,443.6,340,0,0,0,0,95,86,0,78,3
"Strawberry Banana (Drinks & Shake, Smoothies)",15 oz,,443.6,330,0.5,0,0,0,95,82,2,68,4
