Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Bacon (2 pieces),14,80,7,3,0,15,260,0,0,0,4
Hamburger Patty,94,302,17,8,1,60,50,0,0,0,16
Hot Dog,90,280,26,12,1,56,800,1,0,0,11
Bun,77,240,9,3.5,0,5,330,39,2,8,7
"Fries, Little",227,526,23,4,0,0,531,72,8,2,8
"Fries, Regular",411,953,41,7,1,0,962,131,15,4,15
"Fries, Large",567,1314,57,10,1,0,1327,181,21,6,20
A.1. Original Steak Sauce,17,15,0,0,0,0,280,3,0,2,0
BBQ Sauce,28,49,0,0,0,0,400,15,<1,10,<1
Cheese (1 slice),19,70,6,3.5,0,20,310,<1,0,<1,4
Green Peppers,25,3,0,0,0,0,1,1,<1,<1,0
Grilled Mushrooms,21,19,0,0,0,0,55,1,0,1,0
Hot Sauce,5,0,0,0,0,0,200,0,0,0,0
Jalapeño Peppers,11,3,0,0,0,0,0,<1,0,0,0
Ketchup,17,30,0,0,0,0,160,5,0,4,0
Lettuce,30,3,0,0,0,0,3,1,<1,<1,0
Mayonnaise,14,111,11,1.5,0,10,70,0,0,0,0
Mustard,5,0,0,0,0,0,55,0,0,0,0
Onions / Grilled Onions,26,11,0,0,0,0,1,2,<1,1,0
Pickles,28,4,0,0,0,0,260,1,0,0,0
Relish,15,16,0,0,0,0,85,4,0,3,0
Tomatoes,52,8,0,0,0,0,3,2,<1,1,<1
Five Guys Shake Base,396,670,32,21,1,130,360,84,0,82,13
Whipped Cream,7,20,1.5,1,0,5,0,1,0,1,0
Bacon Milkshake Mix-In,14,80,7,3,0,15,260,0,0,0,4
Banana Milkshake Mix-In,14,30,0,0,0,0,3,7,0,6,0
Chocolate Milkshake Mix-In,14,40,1,1,0,0,10,8,1,6,0
Cherry Milkshake Mix-In,14,39,0,0,0,0,1,10,0,7,0
Coffee Milkshake Mix-In,14,3,0,0,0,1,0,0,0,0,0
Dark Vanilla Syrup Milkshake Mix-In,7,20,0,0,0,0,3,5,0,5,0
Malted Milk Milkshake Mix-In,14,60,1,1,0,3,67,10,0,7,1
Oreo Crème Milkshake Mix-In,14,90,7,2,0,0,14,7,0,6,0
Oreo Cookie Pieces Milkshake Mix-In,14,65,3,1,0,0,53,10,<1,6,1
Peanut Butter Milkshake Mix-In,14,86,7,1,0,0,71,3,<1,1,3
Salted Caramel Milkshake Mix-In,14,43,0,0,0,1,24,10,0,8,0
Strawberry Milkshake Mix-In,14,20,0,0,0,0,5,0,0,5,0
