Name,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
All Butter Croissant,79,,290,15,9.6,33,1.7,3.9,6.6
Americano Large,,382,11,0.0,0.0,2.3,0.0,0.0,0.6
Americano Large Decaf,,382,11,0.0,0.0,2.3,0.0,0.0,0.6
Americano Regular,,285,9,0.0,0.0,1.7,0.0,0.0,0.0
Americano Regular Decaf,,285,9,0.0,0.0,1.7,0.0,0.0,0.0
Americano with soya alternative to milk - Large,,412,25,0.9,0.0,3.1,0.0,0.7,1.6
Americano with soya alternative to milk - Large Decaf,,412,25,0.9,0.0,3.1,0.0,0.7,1.6
Americano with soya alternative to milk - Regular,,310,19,0.8,0.0,2.4,0.0,0.6,1.2
Americano with soya alternative to milk - Regular Decaf,,310,19,0.8,0.0,2.4,0.0,0.6,1.2
Apple & Cinnamon Flavour Porridge,234,,232,4.4,1.4,42,4.4,11,8.0
Apple Danish,116.7,,324,9.2,3.9,57,1.7,28,4.6
Bacon & Cheese Wrap,98,,385,26,13,27,2.0,1.0,14
Bacon & Lorne Breakfast Baguette,221.5,,614,21,8.3,73,3.1,3.8,34
Bacon & Lorne Breakfast Roll,170,,464,19,6.9,48,2.1,5.8,26
Bacon & Omelette Breakfast Baguette,207,,514,18,6.5,61,2.8,4.2,29
Bacon & Omelette Breakfast Roll,155,,364,15,5.1,37,1.7,6.2,21
Bacon & Sausage Breakfast Baguette,208.5,,561,21,7.8,66,5.2,3.7,30
Bacon & Sausage Breakfast Roll,157,,411,19,6.4,41,4.1,5.7,22
Bacon Breakfast Baguette,171,,477,15,5.7,60,2.8,3.3,27
Bacon Breakfast Roll,119.5,,327,13,4.3,36,1.7,5.3,19
Baguettes,108,,287,1.3,0.5,60,2.8,3.3,11
Bavarian Slice,127,,395,17,10.0,56,0.7,29,4.8
BBQ Bites Meal Box,262,,590,25,2.5,68,5.1,3.5,26
BBQ Chicken & Bacon Wrap,248,,598,23,8.6,73,3.4,11,26
BBQ Chicken Loaded Wedges,274,,523,21,4.4,68,5.4,11,17
BBQ Crispy Chicken Ciabatta Roll,257,,640,20,7.9,81,3.7,10,37
Beef & Vegetable Pasty,180,,466,28,15,45,2.7,2.0,11
Belgian Buns,122,,367,3.0,1.1,80,1.9,45,6.6
Black Coffee Large Decaf,,374,7,0.0,0.0,1.9,0.0,0.0,0.7
Black Coffee Regular Decaf,,291,6,0.0,0.0,1.5,0.0,0.0,0.6
BLT,181,,382,14,3.5,49,4.2,8.0,17
Bunny Biscuit,70,,328,16,9.9,45,5.5,20,4.2
Cappuccino Large,,327,114,3.1,2.0,14,0.0,10,8.3
Cappuccino Large Decaf,,327,114,3.1,2.0,14,0.0,10,8.3
Cappuccino made with soya alternative to milk - Large,,287,106,4.4,0.7,9.3,1.3,5.9,8.3
Cappuccino made with soya alternative to milk - Regular,,230,83,3.4,0.5,7.5,1.0,4.5,6.4
Cappuccino Regular,,275,94,2.2,1.5,12,0.0,8.6,6.6
Cappuccino Regular Decaf,,275,94,2.2,1.5,12,0.0,8.6,6.6
Caramel Custard Doughnut,97,,298,13,6.4,41,1.2,16,4.2
Caramel Latte Large,,418,225,8.1,5.3,27,0.0,24,10
Caramel Latte Large Decaf,,418,225,8.1,5.3,27,0.0,24,10
Caramel Latte Regular,,364,204,7.4,4.9,26,0.0,24,8.2
Caramel Latte Regular Decaf,,364,204,7.4,4.9,26,0.0,24,8.2
Chargrill Chicken Oval Bite,224,,403,10,1.3,56,6.0,10,25
Chargrill Chicken Roll (HS),204,,347,9.3,1.1,47,5.5,9.0,23
Cheese & Onion Bake,141,,438,30,16,35,2.4,1.3,8.7
Cheese & Onion Stottie,236,,577,21,8.9,76,5.0,11,24
Cheese & Pickle,144,,396,16,7.5,50,3.7,9.0,16
Cheese & Tomato,177,,381,16,7.5,46,4.1,6.4,16
Cheese Sandwich,114,,307,11,5.2,40,3.7,4.5,14
Cheese Scone,97,,343,19,8.9,30,1.6,0.7,13
Chicken & Bacon Pasta,250,,460,20,2.2,52,3.3,6.9,18
Chicken Bake,150,,424,27,14,33,1.8,1.2,13
Chicken Katsu Loaded Wedges,337,,647,33,12,73,7.2,5.3,19
Chocolate Brownies (Outlet Only),180,,841,44,27,103,6.4,74,9.7
Chocolate Cake Bar,74,,302,16,7.4,37,4.9,22,5.6
Cinnamon Flat White,,244,120,1.7,1.1,21,0.0,18,5.4
Corn Topped Roll,71,,182,2.0,0.3,36,1.7,5.3,6.6
Corned Beef Bake,143,,410,26,13,33,1.9,1.3,11
Cream Éclair,85,,339,24,13,28,0.9,18,4.3
Cream Iced Finger,117,,407,20,12,51,1.3,23,6.4
Decaf Regular Cinnamon Swirl Latte,,361,202,7.3,4.8,26,0.0,24,8.1
Decaffeinated Cinnamon Flat White,,244,120,1.7,1.1,21,0.0,18,5.4
Decaffeinated Large Cinnamon Swirl Latte,,415,224,8.0,5.3,27,0.0,24,10
Easter Buns,50,,201,9.2,2.1,29,2.0,19,1.7
Easter Chocolate Cake Bar,79,,321,16,7.5,41,5.0,26,5.4
Egg & Tomato Roll (HS),195,,344,12,1.9,47,5.2,8.0,15
Egg Mayonnaise & Tomato,195,,373,14,2.6,49,4.4,7.1,14
Egg Mayonnaise Sandwich,149,,315,10,1.7,43,4.2,5.4,15
Empire Biscuit,64,,284,9.6,3.3,50,4.9,26,2.4
Espresso Extra Shot,,40,8,0.0,0.0,1.3,0.0,0.0,0.6
Espresso Extra Shot Decaf,,40,8,0.0,0.0,1.3,0.0,0.0,0.5
Espresso Shot,,60,11,0.0,0.0,1.9,0.0,0.0,0.8
Espresso Shot Decaf,,60,11,0.0,0.0,1.9,0.0,0.0,0.8
