Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Made from Scratch Biscuit,109,370,23,5,,35,0,3,5
Cinnamon 'N' Raisin Biscuit,81,300,15,3,,40,1,17,3
Jelly Biscuit,137,520,34,7,,44,0,10,5
Sausage Biscuit,142,530,38,10,,36,0,4,11
Sausage and Egg Biscuit,185,590,42,11,,36,0,4,16
Country Ham Biscuit,144,440,26,6,,36,0,3,14
Chicken Fillet Biscuit,226,600,34,7,,50,1,3,24
Country Steak Biscuit,180,630,43,11,,45,0,3,16
Breaded Pork Chop Biscuit,205,640,39,7,,46,1,4,25
Pork Chop 'N'ravy Biscuit,234,680,42,8,,48,1,4,26
"Bacon, Egg and Cheese Biscuit",175,530,36,11,,36,0,4,15
"Ham, Egg and Cheese biscuit",220,540,33,10,,36,0,4,23
Loaded Omelet Biscuit,198,610,42,14,,36,0,4,20
Monster Biscuit,254,770,55,18,,37,0,4,29
Smoked Sausage Biscuit,187,620,46,15,,37,0,5,14
Biscuit 'N'ravy,251,530,33,8,,48,1,3,9
Sunrise Croissant with Ham,163,400,23,10,,27,1,4,21
Frisco Breakfast Sandwich,185,400,18,7,,27,2,2,23
Pancakes (3),135,300,5,1,,55,2,12,8
Low Carb Breakfast Bowl,208,620,50,21,,6,2,2,36
Loaded Biscuit 'N'ravy Breakfast Bowl,326,740,52,14,,49,1,4,20
Loaded Breakfast Burrito,265,760,49,21,,39,1,2,39
"Big Country Breakfast Platter - Bacon",369,910,48,12,,91,4,12,27
Country Potatoes (Small),99,200,9,1.5,,27,3,0,4
Country Potatoes (Small),99,200,9,1.5,,27,3,0,4
Country Potatoes (Medium),142,290,12,2.5,,39,4,0,6
Country Potatoes (Large),235,480,21,4,,64,6,4,10
Grits,142,110,5,1,,16,1,0,2
Chocolate Chip Cookie,68,290,11,5,,44,0,26,4
Chocolate Chip Cookie - Fresh Baked,52,250,14,5,,30,1,17,2
Chocolate Cake,85,300,12,3,,56,2,43,4
Apple Turnover,85,290,15,5,,36,1,11,2
Peach Cobbler (Small),180,285,7,1,,56,1,45,1
Single Scoop Ice Cream Cone,126,285,13,8,,37,0,26,6
Single Scoop Ice Cream Bowl,113,235,13,8,,27,0,22,5
Natural-Cut French Fries - Kids,77,200,9,2,,28,2,0,2
Natural-Cut French Fries (Small),121,320,14,3,,45,3,0,4
"Natural-Cut French Fries - Medium",162,430,19,4,,60,4,0,5
Natural-Cut French Fries (Large),176,470,21,4,,65,5,0,5
Hand-Scooped Malt,414,780,35,24,,98,0,76,17
Fried Chicken Breast,148,370,15,4,,29,0,0,29
Fried Chicken Wing,66,200,8,2,,23,0,0,10
Fried Chicken Thigh,121,330,15,4,,30,0,0,19
Fried Chicken Leg,69,170,7,2,,15,0,0,13
Side Salad (no dressing),191,120,7,5,,7,2,4,7
1/3 lb Original Thickburger,343,770,48,16,,53,4,10,35
1/3 lb Cheeseburger,240,620,33,13,,51,3,10,35
1/3 lb Mushroom & Swiss Thickburger,259,650,36,14,,47,3,5,39
"1/3 lb Bacon Cheese Thickburger",320,850,57,19,,49,3,7,38
1/3 lb Low Carb Thickburger,245,420,32,12,,5,2,3,30
2/3 lb Double Thickburger,445,1150,78,28,,53,4,10,62
"2/3 lb Double Bacon Cheese Thickburger",436,1200,84,30,,50,3,7,65
2/3 lb Monster Thickburger,386,1320,95,36,,46,2,6,70
Six Dollar Thickburger,383,930,59,21,,57,4,15,46
Little Thickburger,220,570,39,12,,35,3,7,24
Little Thick Cheeseburger,167,450,23,9,,38,3,10,24
Charbroiled Chicken Club Sandwich,306,630,32,8,,54,4,16,32
BBQ Chicken Sandwich,271,400,6,1,,62,5,21,27
"Low Carb Charbroiled Chicken Club Sandwich",250,360,23,7,,14,1,8,24
Big Chicken Fillet Sandwich,319,710,38,7,,62,5,6,33
Spicy Chicken Sandwich,153,440,21,5,,41,3,3,11
Regular Roast Beef,128,310,15,5,,28,1,3,25
Big Roast Beef,171,400,21,7,,28,1,3,25
Hot Ham N Cheese,131,280,12,4,,29,1,4,18
Big Hot Ham N Cheese,232,460,20,8,,40,2,4,36
Fish Supreme Sandwich,225,630,38,7,,51,3,14,22
Jumbo Chili Dog,145,400,26,9,,25,1,6,16
Double Cheeseburger,208,530,32,6,,34,1,7,27
Small Cheeseburger,139,350,19,4,,32,1,6,16
Small Hamburger,126,310,15,4,,32,1,6,14
3 Piece Chicken Strips,108,370,26,6,,19,2,0,14
5 Piece Chicken Strips,180,610,43,9,,32,3,0,23
Kids Meal - Chicken Strips,149,450,27,6,,40,3,0,12
Kids Meal - Cheeseburger,215,560,29,6,,59,3,6,19
Kids Meal - Hamburger,203,520,25,6,,59,3,6,16
Hand-Scooped Shake,397,705,33,23,,86,0,68,14
Crispy Curls (Small),109,340,17,4,,43,4,0,4
Crispy Curls (Medium),132,410,20,5,,52,4,0,5
Crispy Curls (Large),153,480,23,6,,60,5,0,6
Cole Slaw (Small),113,170,10,2,,20,2,16,1
Mashed Potatoes (Small),142,90,2,0,,17,0,1,1
