Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Hero 4 oz Burger Patty,113,290,25,11,1,65,360,1,0,0,16
Hero 6 oz Burger Patty,170,440,38,16,1.5,100,540,1,1,0,24
Grilled Chicken Breast,255,150,3,0,0,60,440,1,0,0,29
Soul Burger Patty,113,200,13,1,0,0,400,4,5,0,18
Crispy Chicken Breast,142,250,12,1.5,0.2,50,640,3,1,5,20
Crunchy Chicken Strips,100,200,10,1,0,35,450,13,1,2,14
Sesame Poppy Bun,70,190,3.5,0.3,0,0,290,35,2,3,5
Bun (no seeds),50,135,2.5,0.2,0,0,207,25,1,2,3.5
Ciabatta Bun,90,190,0,0,0,0,430,42,2,2,6
Multigrain Bun,85,280,10,1,0.1,15,410,41,4,4,6
Whole-wheat Flat,70,170,1.5,0.5,0,0,250,33,4,3,6
Gluten-Free Bun,100,240,7,1,0,0,530,41,4,9,4
Fresh Cut Fries,250,565,9.5,0,0,0,435,43,3,3,6
Hero Onion Rings,170,170,9,1.5,0,0,340,20,2,3,2
Sweet Potato Fries,170,140,6,0,0,0,260,20,2,7,2
Tempura Zucchini,170,160,9,1.5,0.2,0,380,18,1,3,3
Green Salad,70,15,0,0,0,0,5,3,1,1,1
Creamy Caesar Dressing,142,170,17,3,0.2,20,550,4,0,0,2
Ketchup,5,20,0,0,0,0,140,5,0,4,0.3
Mustard,5,0,0,0,0,0,65,0,0,0,0.2
Relish,15,12,0,0,0,0,170,3,0,3,0
Sliced Pickles,15,10,0,0,0,0,920,2,1,0,1
Jalapeno Peppers,28,5,0.14,0.1,0,0,286,0.96,0.51,0,0.01
Hot Sauce,5,0,0,0,0,0,45,0,0,0,0.1
Honey Dijon,5,0,0,0,0,0,55,0,0,0,0
Low Fat Mayonnaise,15,35,3.5,0.5,0,4,130,1,0,0,0
Ancho Chipotle,15,55,4,0.75,0,2.5,140,1,0,3,0.25
Maple Chipotle BBQ,5,70,0,0,0,0,250,18,0,16,0
Mango Sauce,142,25,0,0,0,0,35,7,0,6,0
Hero Sauce,142,80,9,1,0,10,85,0,0,0,0.5
non-GMO Poutine Gravy,113,20,0,0,0,0,280,4,0,0,0.4
Caramel Sundae Topping,57,240,2,0.2,0,0,65,56,0,28,1
Strawberry Sundae Topping,57,160,0,0,0,0,30,39,1,28,0.3
Chocolate Sundae Topping,57,210,0.5,0.4,0,0,55,52,2,37,2
Vanilla Soft Serve,100,192,6.9,4.4,0.17,27,131,27.8,0.1,26,4.9
Canadian Cheddar,20,80,7,4,0,25,140,1,0,0,5
Smoked White Cheddar,20,85,7,0,0,0,0,0,0,6,0
Swiss Cheese,20,45,1,0,0,0,140,9,0,0,1
Blue Cheese,20,97,0,0,0,0,0,0,0,0,0
Goat Cheese,20,70,6,4,0.2,20,170,0,0,0,4
Fried Egg,53,70,5,1.5,0,195,65,1,0,0,6
Guacamole,30,23,2,0,0,0,55,1,1,1,0
Crispy Onions,28,23,1,0,0,0,33,3,0,0,0
Sauteed Onions,50,60,0,0,0,0,0,0,0,0,0
Beef Bacon,50,180,16.6,6,0.26,37,286,0.6,0,0,8
Strip Bacon,40,90,7,3,0,15,240,0,0,0,5
Portobello Mushrooms,30,7,0,0,0,0,2,1,0,0,0
