Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
$5 Brekky Deal Ham Cheese Toastie & Medium Coffee,473,509.08,23.6,12.2,1020,45.6,,15.9,25.7
3 Nugget Kids Meal & Water,421,427.82,18.4,2.5,892,55.2,,10.5,10.1
6 Nugget Kids Meal & Water,472,556.88,24.9,3.5,1100,65.4,,10.9,17.1
6 Nuggets & Chips Snack Box,235,700.29,42.3,6,1280,62.2,,1.8,18.1
10 Nuggets & Sauce Snack Box,195,552.1,35.2,4.1,941,35.3,,2.3,23.7
"Add on Hunger Tamers Bbq Cheeseburger, 3 X Nuggets, Spicy Sauce Tub",194,638.15,42.1,9.2,931,41.8,,6,23.5
"Add on Hunger Tamers Chicken Royale, 3 X Nuggets, Spicy Sauce Tub",224,719.41,48.6,6,1130,51.1,,4.5,19.9
Almond Milk,90,43.5,2.9,0.7,122,3.2,,2.7,0.9
Angry Whopper ,320,812.62,53.2,17,1480,59.7,,11.3,33.9
Babyccino,60,41.35,2.2,1.4,30,3.3,,3.2,2.1
Bacon & Egg on Turkish Roll,178,401.53,19.2,9.2,843,36.5,,5.6,18.9
Bacon Deluxe Family Bundle,3229,5114.72,250,80.2,6700,576,,249,138
Bacon Deluxe,203,561.66,36,14.6,893,29.2,,3.3,30
Bacon Deluxe Hunger Tamers,938,1677.82,91.4,25,2440,156,,54.2,57.3
BBQ Big Brekky Wrap,268,640.54,35.9,11.9,1390,50.5,,9.1,27.9
BBQ Brekky Wrap,210,478.01,24.9,10.6,1150,35.4,,8.8,26.5
BBQ Cheeseburger,118,384.8,22.3,7.3,468,30.2,,4.8,16.2
BBQ Plum Dipping Tub,31,61.66,0.3,0.1,275,14.1,,12.7,0.2
Bubblegum Storm,302,532.98,18.3,12.1,300,78.7,,77.8,13.6
Cappuccino (Large),436,231.84,12.7,8.1,185,17.4,,17.3,12.2
Cappucino (Medium),331,173.28,9.4,6,141,13,,12.9,9.1
Cappucino (Small),234,121.89,6.5,4.2,102,9.2,,9.1,6.4
Caramel Ice Coffee (Large),693,511.47,19.6,14,253,71.3,,66.5,11.8
Caramel Ice Coffee (Medium),571,434.99,16.6,12,212,61.8,,57.1,9
Caramel Ice Coffee (Small),429,346.56,13.3,9.9,169,49.8,,45.4,6.3
Caramel Sundae (Large),216,425.43,14.8,10.8,262,62.3,,59.3,9.9
Caramel Sundae (Small),141,270.08,9.6,6.9,168,38.6,,37.1,6.6
Caramel Thickshake (Large),368,492.35,10.8,6.9,339,83.9,,79.2,13.8
Caramel Thickshake (Medium),266,356.12,7.8,5,245,60.6,,57.2,10
Caramel Thickshake (Small),199,265.3,5.9,3.7,183,45.3,,42.7,7.5
Chai Latte (Large),506,509.08,14.7,9.3,318,79.7,,65.3,13.9
Chai Latte (Medium),386,387.19,11.2,7.1,241,60.1,,49.3,10.6
Chai Latte (Small),264,260.52,7.7,4.9,164,40.3,,33.1,7.3
Cheese Sour Dough Toastie,109,325.05,12.9,7.4,608,37.6,,0.6,12.3
Cheese Toastie,111,305.93,13,5.8,511,32.5,,2.7,11.9
Cheeseburger Kids Meal & Water,458,564.05,25.6,7.7,1090,64.1,,4.8,19.3
