Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
"#2 Jersey Shore's Favorite (Mini, White Bread)",460,23.78,6.62,0.39,35.35,1088.5,41.26,2.82,5.17,21.65
"#2 Jersey Shore's Favorite (Mini, Rosemary Parmesan Bread)",480,25.2,7.5,0.39,39.53,1135.57,41.8,3.07,5.18,23.01
"#2 Jersey Shore's Favorite (Mini, Wheat Bread)",470,24.06,6.37,0.39,35.35,1063.99,41.87,4.26,5.88,22.22
"#2 Jersey Shore's Favorite (Mini, Seeded Italian Bread)",490,25.04,6.83,0.39,35.35,1107.75,46.98,4.47,6.41,21.81
"#2 Jersey Shore's Favorite (Regular, White Bread)",800,44.08,11.49,0.66,65.68,1951.34,63.11,4.26,8.47,38.09
"#2 Jersey Shore's Favorite (Regular, Rosemary Parmesan Bread)",830,46.24,12.82,0.66,72.01,2022.66,63.93,4.63,8.49,40.16
"#2 Jersey Shore's Favorite (Regular, Wheat Bread)",810,44.5,11.1,0.66,65.68,1914.21,64.04,6.43,9.55,38.96
"#2 Jersey Shore's Favorite (Regular, Seeded Italian Bread)",840,45.99,11.81,0.66,65.68,1980.5,71.78,6.75,10.35,38.34
"#2 Jersey Shore's Favorite (Regular, Gluten Free Bread)",750,48.49,11.56,0.66,65.68,1760.5,49.78,4.25,10.35,33.84
"#2 Jersey Shore's Favorite (Giant, White Bread)",1500,83.46,20.6,1.21,107.5,3432.17,122.74,7.8,14.55,66.05
"#2 Jersey Shore's Favorite (Giant, Rosemary Parmesan Bread)",1560,87.78,23.26,1.21,120.16,3574.82,124.38,8.55,14.58,70.19
"#2 Jersey Shore's Favorite (Giant, Wheat Bread)",1520,84.3,19.82,1.21,107.5,3357.92,124.59,12.15,16.7,67.79
"#2 Jersey Shore's Favorite (Giant, Seeded Italian Bread)",1590,87.28,21.23,1.2,107.5,3490.5,140.07,12.79,18.31,66.55
"#2 Jersey Shore's Favorite (Giant, Gluten Free Bread)",1410,92.28,20.73,1.2,107.5,3050.5,96.07,7.79,18.31,57.55
"#2 Jersey Shore's Favorite (Wrap, White Wrap)",830,48.49,14.06,0.66,65.68,2055.5,62.28,4.25,6.85,35.84
"#2 Jersey Shore's Favorite (Wrap, Tomato Basil Wrap)",830,48.49,14.06,0.66,65.68,2035.5,62.28,4.25,6.85,35.84
"#2 Jersey Shore's Favorite (Wrap, Wheat Wrap)",810,48.49,14.06,0.66,65.68,2065.5,60.28,8.25,6.85,36.84
"#2 Jersey Shore's Favorite (Wrap, Garlic Herb Wheat Wrap)",830,48.49,14.06,0.66,65.68,2265.5,62.28,4.25,6.85,35.84
"#2 Jersey Shore's Favorite (Wrap, Spinach Herb Wrap)",830,48.49,14.06,0.66,65.68,2055.5,61.28,4.25,6.85,36.84
#2 Jersey Shore's Favorite (Bowl),520,41.49,11.06,0.66,65.68,1315.5,10.28,2.25,6.85,27.84
"#3 Ham and Provolone (Mini, White Bread)",460,24.04,6.76,0.39,36.19,1114.73,40.91,2.82,4.93,21.99
"#3 Ham and Provolone (Mini, Rosemary Parmesan Bread)",490,25.46,7.64,0.39,40.37,1161.8,41.45,3.07,4.94,23.35
"#3 Ham and Provolone (Mini, Wheat Bread)",470,24.31,6.51,0.39,36.19,1090.22,41.52,4.26,5.64,22.56
"#3 Ham and Provolone (Mini, Seeded Italian Bread)",500,25.3,6.97,0.39,36.19,1133.98,46.63,4.47,6.17,22.15
"#3 Ham and Provolone (Regular, White Bread)",790,44.09,11.56,0.66,63.44,1904.9,62.39,4.26,7.9,37.08
"#3 Ham and Provolone (Regular, Rosemary Parmesan Bread)",820,46.25,12.89,0.66,69.77,1976.22,63.21,4.63,7.92,39.15
"#3 Ham and Provolone (Regular, Wheat Bread)",800,44.51,11.17,0.66,63.44,1867.77,63.31,6.43,8.98,37.85
"#3 Ham and Provolone (Regular, Seeded Italian Bread)",840,46,11.88,0.66,63.44,1934.06,71.05,6.75,9.78,37.33
"#3 Ham and Provolone (Regular, Gluten Free Bread)",750,48.5,11.63,0.66,63.44,1714.06,49.05,4.25,9.78,32.83
"#3 Ham and Provolone (Giant, White Bread)",1490,83.73,20.8,1.21,106.1,3411.96,121.68,7.8,13.73,65.38
"#3 Ham and Provolone (Giant, Rosemary Parmesan Bread)",1560,88.05,23.46,1.21,118.76,3554.61,123.32,8.55,13.76,69.52
"#3 Ham and Provolone (Giant, Wheat Bread)",1520,84.57,20.02,1.21,106.1,3337.71,123.53,12.15,15.88,67.12
"#3 Ham and Provolone (Giant, Seeded Italian Bread)",1590,87.55,21.43,1.2,106.1,3470.29,139.01,12.79,17.49,65.88
"#3 Ham and Provolone (Giant, Gluten Free Bread)",1410,92.55,20.93,1.2,106.1,3030.29,95.01,7.79,17.49,56.88
"#3 Ham and Provolone (Wrap, White Wrap)",820,48.5,14.13,0.66,63.44,2009.06,61.55,4.25,6.28,34.83
"#3 Ham and Provolone (Wrap, Tomato Basil Wrap)",820,48.5,14.13,0.66,64.44,1989.06,61.55,4.25,6.28,34.83
"#3 Ham and Provolone (Wrap, Wheat Wrap)",800,48.5,14.13,0.66,63.44,2019.06,59.55,8.25,6.28,35.83
"#3 Ham and Provolone (Wrap, Garlic Herb Wheat Wrap)",820,48.5,14.13,0.66,63.44,2219.06,61.55,4.25,6.28,34.83
"#3 Ham and Provolone (Wrap, Spinach Herb Wrap)",820,48.5,14.13,0.66,63.44,2009.06,60.55,4.25,6.28,35.83
#3 Ham and Provolone (Bowl),510,41.5,11.13,0.66,63.44,1269.06,9.55,2.25,6.28,26.83
"#14 The Veggie (Mini, White Bread)",540,32.19,12.31,0.51,47.96,815.79,41.69,3.06,4.26,23.78
"#14 The Veggie (Mini, Rosemary Parmesan Bread)",560,33.61,13.18,0.51,52.13,862.86,42.23,3.31,4.27,25.14
"#14 The Veggie (Mini, Wheat Bread)",550,32.47,12.05,0.51,47.96,791.28,42.3,4.5,4.97,24.35
"#14 The Veggie (Mini, Seeded Italian Bread)",570,33.45,12.51,0.5,47.96,835.04,47.41,4.71,5.5,23.94
"#14 The Veggie (Regular, White Bread)",910,58.01,21.14,0.9,79.93,1289.72,63.33,4.62,6.42,38.4
"#14 The Veggie (Regular, Rosemary Parmesan Bread)",940,60.17,22.47,0.9,86.26,1361.05,64.15,4.99,6.43,40.47
"#14 The Veggie (Regular, Wheat Bread)",930,58.43,20.75,0.9,79.93,1252.6,64.25,6.79,7.49,39.27
"#14 The Veggie (Regular, Seeded Italian Bread)",960,59.92,21.46,0.89,79.93,1318.89,71.99,7.11,8.3,38.65
