Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Sugars Added (g),Protein (g)
Double Down Sandwich,1 sandwich,,,950,63,14,0,210,2380,28,1,2,0,67
Spicy Double Down Sandwich,1 sandwich,,,930,62,14,0,205,2370,28,1,2,0,68
Original Recipe Chicken Breast,,172,,390,21,4,0,120,1190,11,2,0,0,39
Original Recipe Chicken Drumstick,,53,,130,8,1.5,0,55,430,4,1,0,0,12
Original Recipe Chicken Thigh,,104,,280,19,4.5,0,100,910,8,1,0,0,19
Original Recipe Chicken Whole Wing,,43,,130,8,2,0,55,380,3,0,0,0,10
Extra Crispy Chicken Breast,,178,,530,35,6,0,105,1150,18,0,0,0,35
Extra Crispy Chicken Drumstick,,55,,170,12,2,0,50,390,5,0,0,0,10
Extra Crispy Chicken Thigh,,112,,330,23,4.5,0,100,700,9,0,0,0,22
Extra Crispy Chicken Whole Wing,,48,,170,13,2,0,45,340,5,0,0,0,10
Kentucky Grilled Chicken Breast,,131,,210,7,2,0,130,710,0,0,0,0,38
Kentucky Grilled Chicken Drumstick,,41,,80,4,1,0,55,220,0,0,0,0,11
Kentucky Grilled Chicken Thigh,,71,,150,9,3,0,90,420,0,0,0,0,17
Kentucky Grilled Chicken Whole Wing,,30,,70,3,1,0,45,180,0,0,0,0,9
Spicy Crispy Chicken Breast,,146,,350,20,3.5,0,100,1100,11,1,0,0,30
Spicy Crispy Chicken Drumstick,,46,,130,8,1.5,0,40,420,5,1,0,0,9
Spicy Crispy Chicken Thigh,,79,,270,20,3.5,0,65,720,10,1,0,0,13
Spicy Crispy Chicken Whole Wing,,35,,120,8,1.5,0,35,350,5,0,0,0,7
Extra Crispy Tender,1 tender,51.5,,140,7,1,0,25,320,8,0,0,0,10
Kentucky Fried Nuggets,1 nuget,17,,35,1.5,0,0,15,140,1,0,0,0,3
Nashville Hot Spicy Crispy Chicken Breast,,171,,540,40,7,0,100,1390,14,2,1,0,31
Nashville Hot Spicy Crispy Chicken Drumstick,,53,,190,14,2.5,0,40,510,6,1,0,0,9
Nashville Hot Spicy Crispy Chicken Thigh,,94,,390,32,6,0,65,900,12,2,1,0,13
Nashville Hot Spicy Crispy Chicken Whole Wing,,43,,180,15,2.5,0,35,450,5,1,0,0,8
BBQ Baked Beans,1 side,,,190,1,0,0,0,650,34,7,15,0,11
Biscuit,1 biscuit,,,180,8,4.5,0,0,520,22,1,1,0,4
Coleslaw,1 side,,,170,12,2,0,5,180,14,4,10,0,1
Corn on the Cob,1 side,,,70,0.5,0,0,0,0,17,2,3,0,2
Green Beans,1 side,,,25,0,0,0,0,300,5,3,1,0,1
KFC Cornbread Muffin,1 piece,,,210,9,1.5,0,35,240,28,1,11,0,3
Macaroni & Cheese,1 side,,,140,6,1.5,0,5,590,17,1,2,0,5
Macaroni Salad,1 side,,,140,8,1,0,15,290,14,0,9,0,1
Mashed Potatoes,1 side,,,110,3.5,0.5,0,0,330,17,1,0,0,2
Mashed Potatoes With Gravy,1 side,,,130,4.5,1,0,0,520,20,1,0,0,3
Potato Salad,1 side,,,340,28,4.5,0,25,290,19,2,3,0,2
Secret Recipe Fries,1 side,,,320,15,2,0,0,1100,41,3,0,0,5
Sweet Kernel Corn,1 side,,,70,0.5,0,0,0,0,16,2,2,0,2
BBQ Baked Beans (Family Side),1 family side,,,830,5,1,0,0,2810,148,31,63,0,47
Coleslaw (Family Side),1 family side,,,640,46,7,0,15,670,54,14,37,0,4
Corn on the Cob (Family Side),1 family side,,,280,2,0,0,0,15,67,8,11,0,9
Green Beans (Family Side),1 family side,,,80,0,0,0,0,930,15,9,3,0,4
Macaroni & Cheese (Family Side),1 family side,,,540,23,6,0,10,2220,66,5,8,0,18
Macaroni Salad (Family Side),1 family side,,,480,28,3.5,0,55,990,50,0,30,0,3
Mashed Potatoes (Family Side),1 family side,,,460,15,3,0,0,1410,72,6,0,0,9
Mashed Potatoes With Gravy (Family Side),1 family side,,,590,21,5,0,0,2590,88,6,1,0,12
Potato Salad (Family Side),1 side,,,1200,98,16,0,80,1010,65,8,12,0,8
Secret Recipe Fries (Family Side),1 family side,,,840,40,5,0,0,2890,108,9,0,0,13
Sweet Kernel Corn (Family Side),1 family side,,,280,2.5,0,0,0,10,67,7,8,0,10
Chicken Littles,1 sandwich,,,300,15,2.5,0,30,620,27,1,3,0,14
Classic Chicken Sandwich,1 sandwich,,,650,35,4.5,0,90,1260,49,1,6,0,34
Crispy Twister,1 sandwich,,,630,34,7,0,70,1260,53,4,3,0,28
Spicy Chicken Sandwich,1 sandwich,,,620,33,4,0,85,2140,49,1,6,0,34
Chicken Pot Pie,1 chicken pot pie,,,720,41,25,0,80,1750,60,7,5,0,26
KFC Famous Bowl,1 bowl,,,590,23,5,0,85,2160,67,4,2,0,31
Caesar Side Salad,1 salad,,,40,2,1,0,5,90,2,1,1,0,3
House Side Salad,1 salad,,,15,0,0,0,0,10,3,2,2,0,1
Heinz Buttermilk Dressing,,28,,160,17,2,0,10,220,1,0,1,0,0
Hidden Valley The Original Ranch Fat Free Dressing,,43,,35,0,0,0,0,410,8,0,2,0,1
KFC Creamy Parmesan Caesar Dressing,,57,,260,26,5,0,15,540,4,0,2,0,2
Marzetti Light Italian Dressing,,28,,15,0.5,0,0,0,510,2,0,1,0,0
Parmesan Garlic Croutons,,14,,60,3,0,0,0,135,8,1,1,0,2
Apple Turnover,,81,,230,10,2.5,0,0,140,32,1,12,0,2
Caf Valley Chocolate Chip Cake (1 Slice),,76,,300,15,3,0,50,260,39,1,27,0,4
Caf Valley Lemon Cake (1 Slice),,56,,220,10,2,0,30,170,30,0,20,0,2
Caf Valley Mini Chocolate Chip Cake,,85,,300,12,2.5,0,40,190,49,1,35,0,3
Caf Valley Mini Lemon Cake,,85,,300,13,2.5,0,50,230,43,0,31,0,3
BBQ - Dipping Sauce Cup,,25,,45,0,0,0,0,150,11,0,11,0,0
