Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Egg McMuffin,,136,,300,13,5,0,260,750,31,4,3,17
Egg White Delight,,135,,250,8,3,0,25,770,30,4,3,18
Sausage McMuffin,,111,,370,23,8,0,45,780,29,4,2,14
Sausage McMuffin with Egg,,161,,450,28,10,0,285,860,30,4,2,21
Sausage McMuffin with Egg Whites,,161,,400,23,8,0,50,880,30,4,2,21
Steak & Egg McMuffin,,185,,430,23,9,1,300,960,31,4,3,26
"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",,150,,460,26,13,0,250,1300,38,2,3,19
"Bacon, Egg & Cheese Biscuit (Large Biscuit)",,164,,520,30,14,0,250,1410,43,3,4,19
"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",,153,,410,20,11,0,35,1300,36,2,3,20
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",,167,,470,25,12,0,35,1420,42,3,4,20
Sausage Biscuit (Regular Biscuit),,117,,430,27,12,0,30,1080,34,2,2,11
Sausage Biscuit (Large Biscuit),,131,,480,31,13,0,30,1190,39,3,3,11
Sausage Biscuit with Egg (Regular Biscuit),,163,,510,33,14,0,250,1170,36,2,2,18
Sausage Biscuit with Egg (Large Biscuit),,177,,570,37,15,0,250,1280,42,3,3,18
Sausage Biscuit with Egg Whites (Regular Biscuit),,167,,460,27,12,0,35,1180,34,2,3,18
Sausage Biscuit with Egg Whites (Large Biscuit),,181,,520,32,13,0,35,1290,40,3,3,18
Southern Style Chicken Biscuit (Regular Biscuit),,143,,410,20,8,0,30,1180,41,2,3,17
Southern Style Chicken Biscuit (Large Biscuit),,157,,470,24,9,0,30,1290,46,3,4,17
Steak & Egg Biscuit (Regular Biscuit),,201,,540,32,16,1,280,1470,38,2,3,25
"Bacon, Egg & Cheese McGriddles",,174,,460,21,9,0,250,1250,48,2,15,19
"Bacon, Egg & Cheese McGriddles with Egg Whites",,178,,400,15,7,0,35,1250,47,2,16,20
Sausage McGriddles,,141,,420,22,8,0,35,1030,44,2,15,11
"Sausage, Egg & Cheese McGriddles",,201,,550,31,12,0,265,1320,48,2,15,20
"Sausage, Egg & Cheese McGriddles with Egg Whites",,205,,500,26,10,0,50,1320,46,2,15,21
"Bacon, Egg & Cheese Bagel",,197,,620,31,11,0.5,275,1480,57,3,7,30
"Bacon, Egg & Cheese Bagel with Egg Whites",,201,,570,25,9,0.5,60,1480,55,3,8,30
"Steak, Egg & Cheese Bagel",,241,,670,35,13,1.5,295,1510,56,3,7,33
Big Breakfast (Regular Biscuit),,269,,740,48,17,0,555,1560,51,3,3,28
Big Breakfast (Large Biscuit),,283,,800,52,18,0,555,1680,56,4,3,28
Big Breakfast with Egg Whites (Regular Biscuit),,272,,640,37,14,0,35,1590,50,3,3,26
Big Breakfast with Egg Whites (Large Biscuit),,286,,690,41,14,0,35,1700,55,4,4,26
Big Breakfast with Hotcakes (Regular Biscuit),,420,,1090,56,19,0,575,2150,111,6,17,36
Big Breakfast with Hotcakes (Large Biscuit),,434,,1150,60,20,0,575,2260,116,7,17,36
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),,423,,990,46,16,0,55,2170,110,6,17,35
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),,437,,1050,50,16,0,55,2290,115,7,18,35
Hotcakes,,151,,350,9,2,0,20,590,60,3,14,8
Hotcakes and Sausage,,192,,520,24,7,0,50,930,61,3,14,15
Sausage Burrito,,111,,300,16,7,0,115,790,26,1,2,12
Hash Brown,,56,,150,9,1.5,0,0,310,15,2,0,1
Cinnamon Melts,,114,,460,19,9,0,15,370,66,3,32,6
Fruit & Maple Oatmeal,,251,,290,4,1.5,0,5,160,58,5,32,5
Fruit & Maple Oatmeal without Brown Sugar,,251,,260,4,1.5,0,5,115,49,5,18,5
Big Mac,,211,,530,27,10,1,85,960,47,3,9,24
Quarter Pounder with Cheese,,202,,520,26,12,1.5,95,1100,41,3,10,30
Quarter Pounder with Bacon & Cheese,,227,,600,29,13,1.5,105,1440,48,3,12,37
Quarter Pounder with Bacon Habanero Ranch,,235,,610,31,13,1.5,105,1180,46,3,10,37
Quarter Pounder Deluxe,,244,,540,27,11,1.5,85,960,45,3,9,29
Double Quarter Pounder with Cheese,,283,,750,43,19,2.5,160,1280,42,3,10,48
Hamburger,,98,,240,8,3,0,30,480,32,1,6,12
Cheeseburger,,113,,290,11,5,0.5,45,680,33,2,7,15
Double Cheeseburger,,161,,430,21,10,1,90,1040,35,2,7,24
Bacon Clubhouse Burger,,270,,720,40,15,1.5,115,1470,51,4,14,39
McDouble,,147,,380,17,8,1,75,840,34,2,7,22
Bacon McDouble,,161,,440,22,10,1,90,1110,35,2,7,27
Daily Double,,190,,430,22,9,1,80,760,34,2,7,22
Jalapeño Double,,159,,430,23,9,1,80,1030,35,2,6,22
McRib,,208,,500,26,10,0,70,980,44,3,11,22
Premium Crispy Chicken Classic Sandwich,,213,,510,22,3.5,0,45,990,55,3,10,24
Premium Grilled Chicken Classic Sandwich,,200,,350,9,2,0,65,820,42,3,8,28
Premium Crispy Chicken Club Sandwich,,249,,670,33,9,0,85,1410,58,3,11,36
Premium Grilled Chicken Club Sandwich,,235,,510,20,7,0,105,1250,44,3,9,40
Premium Crispy Chicken Ranch BLT Sandwich,,230,,610,28,6,0,70,1400,57,3,11,32
Premium Grilled Chicken Ranch BLT Sandwich,,217,,450,15,4.5,0,90,1230,43,3,9,36
Bacon Clubhouse Crispy Chicken Sandwich,,284,,750,38,10,0.5,90,1720,65,4,16,36
Bacon Clubhouse Grilled Chicken Sandwich,,270,,590,25,8,0,110,1560,51,4,14,40
Southern Style Crispy Chicken Sandwich,,160,,430,19,3,0,45,910,43,2,7,21
McChicken,,143,,360,16,3,0,35,800,40,2,5,14
Bacon Cheddar McChicken,,171,,480,24,7,0,65,1260,43,2,6,22
Bacon Buffalo Ranch McChicken,,161,,430,21,5,0,50,1260,41,2,6,20
Buffalo Ranch McChicken,,148,,360,16,3,0,35,990,40,2,5,14
Premium McWrap Chicken & Bacon (Crispy Chicken),,316,,630,32,9,0.5,80,1540,56,3,7,32
Premium McWrap Chicken & Bacon (Grilled Chicken),,302,,480,19,7,0,95,1370,42,3,6,36
Premium McWrap Chicken & Ranch (Crispy Chicken),,310,,610,31,8,0.5,65,1340,56,3,8,27
Premium McWrap Chicken & Ranch (Grilled Chicken),,297,,450,18,6,0.5,80,1170,42,3,6,30
Premium McWrap Southwest Chicken (Crispy Chicken),,314,,670,33,8,0.5,60,1480,68,5,12,27
Premium McWrap Southwest Chicken (Grilled Chicken),,318,,520,20,6,0,80,1320,55,5,10,31
Premium McWrap Chicken Sweet Chili (Crispy Chicken),,304,,540,23,4.5,0,50,1260,61,3,14,23
Premium McWrap Chicken Sweet Chili (Grilled Chicken),,291,,380,10,3,0,65,1090,47,3,12,27
Chicken McNuggets (4 piece),,65,,190,12,2,0,25,360,12,1,0,9
Chicken McNuggets (6 piece),,97,,280,18,3,0,40,540,18,1,0,13
Chicken McNuggets (10 piece),,162,,470,30,5,0,65,900,30,2,0,22
Chicken McNuggets (20 piece),,323,,940,59,10,0,135,1800,59,3,0,44
Chicken McNuggets (40 piece),,646,,1880,118,20,1,265,3600,118,6,1,87
Filet-O-Fish,,142,,390,19,4,0,40,590,39,2,5,15
Premium Bacon Ranch Salad (without Chicken),,223,,140,7,3.5,0,25,300,10,3,4,9
Premium Bacon Ranch Salad with Crispy Chicken,,255,,380,21,6,0,70,860,22,2,5,25
Premium Bacon Ranch Salad with Grilled Chicken,,241,,220,8,4,0,85,690,8,2,4,29
Premium Southwest Salad (without Chicken),,230,,140,4.5,2,0,10,150,20,6,6,6
Premium Southwest Salad with Crispy Chicken,,348,,450,22,4.5,0,50,850,42,7,12,23
Premium Southwest Salad with Grilled Chicken,,335,,290,8,2.5,0,70,680,28,7,10,27
Chipotle BBQ Snack Wrap (Crispy Chicken),,130,,340,15,4.5,0,30,780,37,1,8,14
Chipotle BBQ Snack Wrap (Grilled Chicken),,123,,260,8,3.5,0,40,700,30,1,7,16
Honey Mustard Snack Wrap (Crispy Chicken),,123,,330,15,4.5,0,35,730,34,1,3,14
Honey Mustard Snack Wrap (Grilled Chicken),,116,,250,8,3.5,0,45,650,27,1,2,16
Ranch Snack Wrap (Crispy Chicken),,128,,360,20,5,0,40,810,32,1,3,15
Ranch Snack Wrap (Grilled Chicken),,121,,280,13,4.5,0,45,720,25,1,2,16
Small French Fries,,75,,230,11,1.5,0,0,130,30,2,0,2
Medium French Fries,,111,,340,16,2.5,0,0,190,44,4,0,4
Large French Fries,,168,,510,24,3.5,0,0,290,67,5,0,6
Kids French Fries,,38,,110,5,1,0,0,65,15,1,0,1
Side Salad,,87,,20,0,0,0,0,10,4,1,2,1
Apple Slices,,34,,15,0,0,0,0,0,4,0,3,0
Fruit 'n Yogurt Parfait,,149,,150,2,1,0,5,70,30,1,23,4
Baked Apple Pie,,77,,250,13,7,0,0,170,32,4,13,2
Chocolate Chip Cookie,1 cookie,33,,160,8,3.5,0,10,90,21,1,15,2
Oatmeal Raisin Cookie,1 cookie,33,,150,6,2.5,0,10,135,22,1,13,2
Kids Ice Cream Cone,,29,,45,1.5,1,0,5,20,7,0,6,1
Hot Fudge Sundae,,179,,330,9,7,0,25,170,53,1,48,8
Hot Caramel Sundae,,182,,340,8,5,0,30,150,60,0,43,7
Strawberry Sundae,,178,,280,6,4,0,25,85,49,0,45,6
Coca-Cola Classic (Small),16 fl oz cup,,,140,0,0,0,0,0,39,0,39,0
Coca-Cola Classic (Medium),21 fl oz cup,,,200,0,0,0,0,5,55,0,55,0
Coca-Cola Classic (Large),30 fl oz cup,,,280,0,0,0,0,5,76,0,76,0
Coca-Cola Classic (Child),12 fl oz cup,,,100,0,0,0,0,0,28,0,28,0
Diet Coke (Small),16 fl oz cup,,,0,0,0,0,0,10,0,0,0,0
Diet Coke (Medium),21 fl oz cup,,,0,0,0,0,0,20,0,0,0,0
Diet Coke (Large),30 fl oz cup,,,0,0,0,0,0,35,0,0,0,0
Diet Coke (Child),12 fl oz cup,,,0,0,0,0,0,15,0,0,0,0
Dr Pepper (Small),16 fl oz cup,,,140,0,0,0,0,45,37,0,35,0
Dr Pepper (Medium),21 fl oz cup,,,190,0,0,0,0,65,53,0,51,0
Dr Pepper (Large),30 fl oz cup,,,270,0,0,0,0,90,72,0,70,0
Dr Pepper (Child),12 fl oz cup,,,100,0,0,0,0,30,27,0,26,0
Diet Dr Pepper (Small),16 fl oz cup,,,0,0,0,0,0,70,0,0,0,2
Diet Dr Pepper (Medium),21 fl oz cup,,,0,0,0,0,0,100,0,0,0,3
Diet Dr Pepper (Large),30 fl oz cup,,,0,0,0,0,0,140,0,0,0,4
Diet Dr Pepper (Child),12 fl oz cup,,,0,0,0,0,0,50,0,0,0,1
Sprite (Small),16 fl oz cup,,,140,0,0,0,0,30,37,0,37,0
Sprite (Medium),21 fl oz cup,,,200,0,0,0,0,45,54,0,54,0
Sprite (Large),30 fl oz cup,,,280,0,0,0,0,60,74,0,74,0
Sprite (Child),12 fl oz cup,,,100,0,0,0,0,25,27,0,27,0
