Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Kids' Tortilla (Kids Burrito),42,120.0,3.5,1.0,0.0,0.0,190.0,19.0,1.0,1.0,3.0
"Flour Tortilla 10"" (Small Burrito)",73,210.0,6.1,2.5,0.0,0.0,436.0,33.5,2.0,2.0,6.1
"Whole Wheat Tortilla 10"" (Small Burrito)",72,190.0,6.0,2.0,0.0,0.0,330.0,31.0,3.0,1.0,5.0
"Flour Tortilla 12"" (Regular Burrito)",104,310.0,9.0,3.5,0.0,0.0,620.0,48.0,2.0,2.0,8.0
"Whole Wheat Tortilla 12"" (Regular Burrito)",104,270.0,11.0,3.5,0.0,0.0,590.0,36.0,5.0,2.0,7.0
"Tortilla 14"" Flour (Mucho Burrito)",125,360.0,10.8,3.9,0.0,0.0,639.8,57.1,2.0,1.0,7.9
"Tortilla 14"" Whole Wheat (Mucho Burrito)",125,330.0,10.8,3.9,0.0,0.0,580.7,53.1,5.9,2.0,8.9
Soft Flour Taco (Tacos),27,80.0,2.5,1.0,0.0,0.0,160.0,13.0,1.0,1.0,2.0
Soft Corn Taco (Tacos),13,25.0,0.0,0.0,0.0,0.0,20.0,5.5,0.5,0.0,0.5
Hard Corn Taco (Tacos),13,40.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0
Brown Rice (Mucho Burrito),220,320.0,5.8,0.7,0.0,0.0,483.1,59.2,2.4,1.7,7.4
"Brown Rice (Regular Burrito, Bowl,)",110,160.0,2.9,0.4,0.0,0.0,241.5,29.6,1.2,0.9,3.7
Brown Rice (Bowl - Grains & Greens),50,70.0,1.3,0.2,0.0,0.0,109.8,13.5,0.5,0.4,1.7
Brown Rice (Small Burrito),75,110.0,2.0,0.2,0.0,0.0,164.7,20.2,0.8,0.6,2.5
Brown Rice (Kids Burrito),50,70.0,1.3,0.2,0.0,0.0,109.8,13.5,0.5,0.4,1.7
Ancient Grain Medley (Small Burrito),75,100.0,2.1,0.2,0.0,0.5,1.5,17.9,1.9,2.7,3.3
"Ancient Grain Medley (Regular Burrito, Bowl)",110,150.0,3.1,0.3,0.0,0.7,2.2,26.2,2.9,4.0,4.8
