Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
3-Cheese Tortelloni Pesto (Regular),770,40,18,0,140,1920,74,7,6,34
3-Cheese Tortelloni Pesto (Small),390,20,9,0,70,960,37,3,3,17
3-Cheese Tortelloni Rosa (Regular),730,33,18,0.5,140,1940,76,1,10,35
3-Cheese Tortelloni Rosa (Small),360,17,9,0,70,970,38,<1,5,17
Alfredo MontAmore with Parmesan-Crusted Chicken (Regular),1630,104,53,3,310,2390,117,9,15,57
Alfredo MontAmore with Parmesan-Crusted Chicken (Small),800,46,21,1.5,150,1550,59,4,7,37
Buttered Noodles (Regular),760,35,15,1,220,600,98,4,6,22
Buttered Noodles (Small),380,18,8,0,110,300,49,2,3,11
Cheese Tortelloni in Roasted Garlic Cream Sauce (Regular),820,44,22,1,160,2510,72,2,8,33
Roasted Garlic Cream Tortelloni (Small),410,22,11,0,80,1250,36,<1,4,17
Pasta Fresca (Regular),820,38,8,0,15,1540,99,6,9,21
Pasta Fresca (Small),410,19,4,0,5,770,50,3,4,10
Penne Rosa w/ Parm (Regular),730,25,11,0.5,45,980,104,5,12,23
Penne Rosa w/ Parm (Small),360,12,5,0,25,490,52,2,6,11
Pesto Cavatappi w/ Parm (Regular),740,31,11,0.5,40,960,96,7,7,22
Pesto Cream Cavatappi w/ Parm (Small),370,16,5,0,20,480,48,3,4,11
Spaghetti & Meatballs (Regular),980,48,18,3,90,1580,102,4,16,35
Spaghetti & Meatballs (Small),670,39,16,2.5,85,1180,53,2,8,25
BBQ Chicken Mac (Regular),1190,44,20,1,200,2320,129,6,18,69
BBQ Chicken Mac (Small),670,24,11,0.5,150,1430,65,4,9,48
Buffalo Chicken Mac (Regular),1100,39,18,1,130,3180,128,6,12,59
Buffalo Chicken Mac (Small),650,23,10,0.5,95,2050,68,3,6,41
Gluten-Sensitive Pipette Mac (Regular),850,34,19,1,95,1550,105,2,5,33
Gluten-Sensitive Pipette Mac (Small),420,17,9,0.5,50,770,52,<1,2,16
