Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Calamari,670,42,3.5,0,300,1600,48,2,3,24
Calamari with Marinara,705,44,3.5,0,300,1920,52,3,5,25
Calamari with Spicy Ranch,910,68,8,0,315,2340,50,2,4,25
Shrimp Fritto Misto,1280,79,5,0,240,5010,101,9,9,41
Shrimp Fritto Misto with Marinara,1315,81,5,0,240,5330,105,10,11,42
Shrimp Fritto Misto with Spicy Ranch,1520,105,9.5,0,255,5750,103,9,10,42
Fried Mozzarella,800,49,17,0,65,1990,57,4,3,33
Fried Mozzarella with Marinara,835,51,17,0,65,2310,61,5,5,34
Lasagna Fritta,1130,76,31,1.5,185,1800,75,5,6,39
Meatballs Parmigiana,1040,83,40,3.5,145,2800,27,6,5,51
Spinach-Artichoke Dip with flatbread crisps,1160,81,21,1,70,2440,75,7,8,33
Stuffed Ziti Fritta,500,26,11,0,60,1040,40,3,1,27
Stuffed Ziti Fritta with Alfredo,720,48,25,0.5,130,1340,43,3,2,31
Stuffed Ziti Fritta with Marinara,535,28,11,0,60,1360,44,4,3,28
Toasted Ravioli,650,31,10,0,45,1330,69,4,5,25
Toasted Ravioli with Marinara,685,33,10,0,45,1650,73,5,7,26
Alfredo Dipping Sauce for Breadsticks,440,43,27,1,140,600,5,0,1,8
Alfredo Dipping Sauce for Breadsticks (Large),870,87,54,2,285,1200,11,0,2,15
Five Cheese Marinara Dipping Sauce for Breadsticks,200,17,9,0.5,40,650,9,1,5,5
Five Cheese Marinara Dipping Sauce for Breadsticks (Large),400,33,17,1,80,1300,17,3,10,11
Marinara Dipping Sauce for Breadsticks,70,4.5,0,0,0,640,8,2,5,2
Marinara Dipping Sauce for Breadsticks (Large),150,9,0.5,0,0,1280,17,4,10,4
Breadstick with Garlic Topping (1 Each),140,2.5,0.5,0,0,460,25,1,1,4
"Breadstick, Plain (1 Each)",130,1,0,0,0,280,25,1,2,4
Chicken & Gnocchi Soup,230,12,4.5,0,55,1290,22,1,4,11
Minestrone Soup,110,1,0,0,0,810,17,4,4,5
Pasta Fagioli Soup,150,5,2,0,15,710,16,3,4,8
Zuppa Toscana Soup,220,15,7,0,40,790,15,2,2,7
Stellini Soup (Regional),200,7,2.5,0,20,1240,22,1,2,9
Salad with Signature Italian Dressing,150,10,1.5,0,5,770,13,2,4,3
Salad without Dressing,70,2,0,0,0,250,11,2,2,2
