Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Hatch Green Chile Cheeseburger,590,28,10,1,85,1070,53,3,11,30
Jr. Burger,330,16,4.5,0.5,35,610,32,2,5,15
Quarter Pound Double Cheeseburger,570,34,14,1,105,1370,34,2,6,31
Sonic Bacon Cheeseburger With Mayo,770,46,14,1,105,1340,53,3,11,36
Sonic Burger With Ketchup,540,22,7,1,65,910,57,3,14,27
Sonic Burger With Mayo,620,34,9,1,70,850,53,3,11,27
Sonic Burger With Mustard,520,23,7,1,65,860,53,3,11,27
"Sonic Burger With Mustard, Ketchup & Mayo",640,34,9,1,70,1070,57,3,14,27
Sonic Cheeseburger With Ketchup,600,28,10,1,85,1240,58,3,14,30
Sonic Cheeseburger With Mayo,680,39,12,1,85,1180,54,3,11,30
Sonic Cheeseburger With Mustard,590,28,10,1,85,1190,54,3,11,31
"Sonic Cheeseburger With Mustard, Ketchup & Mayo",710,39,12,1,85,1400,58,3,15,31
Supersonic Bacon Double Cheeseburger With Mayo,1030,65,23,2,190,1880,54,3,12,58
Supersonic Double Cheeseburger With Ketchup,870,48,19,1.5,165,1780,59,3,15,52
Supersonic Double Cheeseburger With Mayo,960,59,21,2,170,1720,55,3,12,52
Supersonic Double Cheeseburger With Mustard,860,48,19,1.5,165,1730,55,3,12,52
"Supersonic Double Cheeseburger With Mustard, Ketchup & Mayo",970,59,21,2,170,1940,59,3,15,52
Supersonic Jalapeño Double Cheeseburger With Mustard,850,48,19,1.5,165,1740,54,2,12,52
Veggie Burger With Ketchup,440,11,2.5,0,5,1800,73,7,14,14
Veggie Burger With Mayo,530,22,4,0,10,1750,69,7,11,14
Veggie Burger With Mustard,430,11,2.5,0,5,1760,69,7,10,14
"Veggie Burger With Mustard, Ketchup & Mayo",550,23,4,0,10,1960,73,7,14,14
American Cheese,70,6,3,0,20,330,1,0,0,4
Avocado,35,3,0.5,0,0,20,2,1,0,0
Crispy Bacon,80,7,2.5,0,20,290,1,0,0,6
Grilled Onions,5,0,0,0,0,5,1,0,0,0
Hatch Green Chiles,5,0,0,0,0,0,0,0,0,0
Hickory BBQ Sauce,30,0,0,0,0,310,7,0,5,0
Hot Chili,60,4,1.5,0,10,170,3,1,1,3
Ranch Dressing,130,14,2.5,0,5,250,2,0,1,1
Slaw,140,7,1.5,0,5,220,17,2,14,1
Spicy Jalapeños,5,0,0,0,0,140,1,0,1,0
Crispy Tenders (2 Pc.),170,8,0.5,0,40,490,11,1,0,14
Corn Dog,230,13,4,0,15,480,23,1,5,6
Fries (Small),250,12,2,0,0,260,33,3,0,3
Jr. Burger,330,16,4.5,0.5,35,610,32,2,5,15
1% Milk Jug,130,2.5,1.5,0,15,160,16,0,15,10
Minute Maid 100% Apple Juice Box,80,0,0,0,0,15,21,0,19,0
Tots (Small),250,13,2.5,0,0,620,30,3,0,2
Tree Top Apple Sauce,45,0,0,0,0,0,13,2,11,0
Bacon Cheeseburger Toaster Sandwich,760,38,13,1,100,1670,68,3,14,37
Blt Toaster Sandwich,580,32,8,0,40,1080,53,2,8,19
Chicken Club Toaster Sandwich,770,43,11,0,80,1590,63,3,8,32
Country Fried Steak Toaster Sandwich,700,35,9,0,45,1390,80,3,7,15
Chicken Wrap - Crispy,530,28,6,0,40,1280,48,2,2,21
Chicken Wrap - Grilled,480,14,4,0,80,1720,39,2,3,31
Asian Sweet Chili Boneless Wings (6 Pc.),470,24,9,0,80,1450,32,2,14,30
Asian Sweet Chili Boneless Wings (12 Pc.),930,48,19,1,165,2910,65,4,28,60
Asian Sweet Chili Boneless Wings (24 Pc.),1860,95,37,2,330,5820,129,9,56,119
Honey BBQ Boneless Wings (6 Pc.),470,24,9,0,80,1380,33,2,16,29
Honey BBQ Boneless Wings (12 Pc.),930,48,19,1,165,2760,67,4,32,58
Honey BBQ Boneless Wings (24 Pc.),1860,95,37,2,330,5530,133,9,65,117
Buffalo Boneless Wings (6 Pc.),440,28,10,0.5,85,1430,17,2,1,29
Buffalo Boneless Wings (12 Pc.),880,57,20,1,175,2860,34,4,1,59
Buffalo Boneless Wings (24 Pc.),1760,113,40,2,345,5720,68,9,2,117
Classic Crispy Chicken Sandwich,550,30,6,0,45,870,48,4,10,21
Classic Grilled Chicken Sandwich,470,22,4,0,75,1340,39,3,10,30
Crispy Tender Sandwich,440,22,3,0,40,910,41,2,3,19
Jumbo Popcorn Chicken (Small),330,19,3.5,0,40,1100,24,3,1,16
Jumbo Popcorn Chicken (Medium),490,28,5,0,55,1640,36,4,1,23
Jumbo Popcorn Chicken (Large),750,43,8,0.5,90,2520,55,6,2,36
Sauced Jumbo Popcorn Chicken (Medium) - Buffalo,560,35,6,0.5,65,2500,37,5,2,24
Sauced Jumbo Popcorn Chicken (Large) - Buffalo,920,60,11,1,105,4670,58,8,3,37
Sauced Jumbo Popcorn Chicken (Medium) - Honey BBQ,570,28,5,0,55,2170,53,4,17,24
Sauced Jumbo Popcorn Chicken (Large) - Honey BBQ,930,43,8,1,90,3830,98,7,42,36
Crispy Tenders 3 Pc.,260,12,1,0,60,730,16,2,0,21
Crispy Tenders 5 Pc.,430,20,2,0,95,1210,27,3,0,35
Country Fried Steak Sandwich,700,35,9,0,45,1410,80,3,10,16
Fish Sandwich,540,27,5,0,35,1240,57,4,10,18
Grilled Cheese Sandwich,430,19,7,0,35,1090,51,2,7,14
Philly Cheesesteak Sandwich,750,39,16,1.5,125,1710,53,1,5,46
Pork Tenderloin Sandwich,710,35,4.5,0,45,1110,73,3,10,20
Seafood & Crab Sandwich,510,21,3.5,0,35,1110,64,3,12,14
"All-American Dog - 6""",410,21,8,1,35,1120,41,2,12,13
"All Beef Regular Hot Dog - 6""",360,21,8,1,35,800,31,2,4,12
"Cheesy Bacon Pretzel Dog - 6""",430,29,12,1.5,50,1130,27,2,4,15
"Chicago Dog - 6""",400,20,7,1,35,2010,41,1,13,11
"Chili Cheese Coney - 6""",470,29,12,1.5,55,1260,34,2,5,18
Footlong Quarter Pound Coney,790,49,19,1,105,2300,55,3,9,31
"New York Dog - 6""",400,23,8,1,35,1110,35,3,5,13
"Original Pretzel Dog - 6""",320,20,8,1,35,760,23,1,2,11
Bagel Breakfast Sandwich Bacon,660,29,10,0,330,1830,68,2,5,33
Bagel Breakfast Sandwich Ham,590,21,7,0,330,2070,70,2,7,33
Bagel Breakfast Sandwich Sausage,770,41,14,0,340,1750,68,2,5,33
Biscuit Sandwich Bacon,570,30,15,0,330,1970,40,1,5,28
Biscuit Sandwich Ham,510,21,12,0,330,2210,42,1,7,28
Biscuit Sandwich Sausage,680,42,19,0,340,1890,40,1,5,28
Breakfast Burrito Bacon,470,25,11,0,320,1540,35,1,1,25
Breakfast Burrito Ham,440,20,9,0,330,1920,38,1,2,27
Breakfast Burrito Sausage,500,30,13,0,325,1430,35,1,1,23
Breakfast Burrito Steak & Egg,650,36,14,1.5,345,1960,48,2,2,33
Breakfast Toaster Bacon,610,31,10,0,330,1610,52,2,7,29
Breakfast Toaster Ham,540,22,7,0,330,1850,54,2,9,29
Breakfast Toaster Sausage,720,43,14,0,340,1530,52,2,7,29
Brioche Breakfast Sandwich Bacon,530,30,11,0,330,1520,38,2,10,27
Brioche Breakfast Sandwich Ham,470,22,8,0,330,1750,40,2,11,27
Brioche Breakfast Sandwich Sausage,640,43,15,0,340,1440,38,3,10,27
Cinnasnacks Without Cream Cheese Frosting 3 Pc.,380,22,6,0,0,210,38,2,12,6
Cinnasnacks Without Cream Cheese Frosting 5 Pc.,630,37,11,0,0,350,63,4,21,10
Croissonic Breakfast Sandwich Bacon,560,37,14,0,330,1380,31,1,5,26
Croissonic Breakfast Sandwich Ham,490,29,11,0,330,1620,33,1,7,26
Croissonic Breakfast Sandwich Sausage,670,49,18,0,340,1300,31,1,5,26
French Toast Sticks Without Syrup (4 Pc.),480,25,4.5,0,0,460,54,3,12,8
Jr. Breakfast Burrito,290,17,7,0,145,820,22,1,0,12
Supersonic Breakfast Burrito,610,35,14,0,325,1800,49,3,3,24
Ultimate Meat & Cheese Breakfast Burrito,840,58,19,0.5,360,2220,47,2,1,30
French Vanilla Cold Brew Iced Coffee (Small),210,9,6,0,30,110,29,0,17,4
French Vanilla Cold Brew Iced Coffee (Medium),300,13,8,0,45,150,42,0,25,5
French Vanilla Cold Brew Iced Coffee (Large),470,20,12,0.5,70,230,65,0,39,8
French Vanilla Cold Brew Iced Coffee Rt 44,650,27,17,1,95,320,90,0,54,11
Green Mountain Coffee Roasters Hot Coffee Reg. (16 Oz.),0,0,0,0,0,0,0,0,0,0
Original Cold Brew Iced Coffee (Small),190,9,6,0,30,110,24,0,12,4
Original Cold Brew Iced Coffee (Medium),260,13,8,0,45,150,32,0,17,5
Original Cold Brew Iced Coffee (Large),410,20,12,0.5,70,230,50,0,26,8
Original Cold Brew Iced Coffee Rt 44,570,27,17,1,95,320,70,0,37,11
Ched 'R' Bites (Small),280,27,8,0.5,40,970,23,1,1,14
Ched 'R' Bites (Medium),410,46,13,1,65,1570,35,2,2,21
Ched 'R' Bites (Large),550,53,16,1,85,1940,46,2,2,27
"Ched 'R' Peppers (4 Pc., Small)",330,28,8,1,35,1340,37,2,2,9
"Ched 'R' Peppers (6 Pc., Medium)",490,48,12,1.5,55,2130,56,3,4,13
"Ched 'R' Peppers (8 Pc., Large)",660,57,15,2,65,2690,74,4,5,17
Chili Cheese Fries (Small),350,19,6,0,20,640,36,3,1,8
Chili Cheese Fries (Medium),450,26,10,0.5,35,940,42,4,2,12
Chili Cheese Fries (Large),710,40,14,1,50,1390,70,7,2,18
Chili Cheese Tots (Small),350,21,7,0,20,1000,32,3,1,7
Chili Cheese Tots (Medium),530,32,10,0.5,35,1540,47,5,2,12
Chili Cheese Tots (Large),960,57,17,1,50,2690,92,9,3,19
Corn Dog,230,13,4,0,15,480,23,1,5,6
Fries (Small),250,12,2,0,0,260,33,3,0,3
Fries (Medium),290,13,2.5,0,0,300,38,3,0,3
Fries (Large),470,22,4,0,0,490,63,6,1,5
Fries With Cheese (Small),310,17,5,0,20,590,34,3,1,6
Fries With Cheese (Medium),380,22,7,0,25,790,39,3,1,9
Fries With Cheese (Large),600,33,10,0,35,1150,64,6,2,12
Fritos Chili Pie (Small),510,34,10,0.5,35,1030,35,3,1,14
Fritos Chili Pie (Medium),750,50,15,1,50,1490,53,5,2,20
Fritos Chili Pie (Large),990,66,20,1,70,1940,71,6,3,26
Handmade Onion Rings (Small),440,21,3.5,0,0,430,55,3,14,6
Handmade Onion Rings (Medium),580,29,5,0,0,570,74,4,19,8
Handmade Onion Rings (Large),800,39,7,0.5,0,790,101,5,26,11
