Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
chow mein,9.40,510,20,3.5,0,0,860,80,6,9,13
chow mein - cub meal,5.20,270,12,1,0,0,520,34,2,4,6
fried rice,9.30,520,16,3,0,120,850,85,1,3,11
fried rice - cub meal,6.20,350,10,2,0,80,570,57,0,2,7
brown steamed rice,10.40,420,4,1,0,0,15,86,4,1,9
brown steamed rice - cub meal,7.80,310,3,0.5,0,0,10,64,3,1,7
white steamed rice,8.10,380,0,0,0,0,0,87,0,0,7
white steamed rice - cub meal,5.10,240,0,0,0,0,0,54,0,0,5
super greens,7.00,90,3,0,0,0,260,10,5,4,6
super greens - cub meal,5.2,60,2,0,0,0,200,8,4,4,4
chow fun,8.50,410,9,1,0,0,1110,73,1,6,9
chow fun - cub meal,6.20,300,6,0.5,0,0,810,53,1,4,6
super greens entree,3.50,45,2,0,0,0,130,5,3,2,3
super greens - cub meal entree,2.60,30,1,0,0,0,95,4,2,2,2
eggplant tofu,6.10,340,24,3.5,0,0,520,23,3,17,7
eggplant tofu - cub meal,4.60,250,18,2.5,0,0,390,17,2,13,5
Beyond Orange Chicken,4.75,440,22,5,0,0,810,47,5,15,13
Beyond Orange Chicken - Cub Meal,3.60,330,17,4,0,0,610,36,4,11,10
black pepper chicken,6.30,280,19,3.5,0,55,1130,15,1,7,13
black pepper chicken - cub meal,4.60,200,14,2.5,0,40,830,11,<1,5,10
kung pao chicken,6.20,290,19,3.5,0,55,970,14,2,6,16
kung pao chicken - cub meal,4.40,200,14,2.5,0,40,690,10,2,4,11
grilled teriyaki chicken,6.00,275,10,3,0,160,470,14,0,9,33
grilled teriyaki chicken - cub meal,4.50,210,8,2.5,0,120,350,11,0,7,25
grilled asian chicken,6.00,275,10,3,0,160,470,14,0,9,33
grilled asian chicken - cub meal,4.50,210,8,2.5,0,120,350,11,0,7,25
teriyaki chicken,6.00,340,13,3.5,0,195,630,14,3,10,41
teriyaki chicken - cub meal,4.50,250,10,2.5,0,145,470,10,0,8,31
Asian Chicken,6.00,340,13,3.5,0,195,630,14,3,10,41
asian chicken - cub meal,4.50,250,10,2.5,0,145,470,10,0,8,31
mushroom chicken,5.70,220,14,2.5,0,50,840,10,1,5,13
mushroom chicken - cub meal,4.30,170,11,2,0,40,650,8,0,4,10
orange chicken,5.70,490,23,5,0,80,820,51,2,19,25
orange chicken - cub meal,4.30,370,17,3.5,0,60,620,38,1,14,19
potato chicken,5.20,190,10,2,0,30,680,18,2,4,8
potato chicken - cub meal,3.90,140,8,0,0,20,0,15,1,0,0
honey sesame chicken breast,5.30,340,15,2.5,0,45,540,35,1,16,16
honey sesame chicken breast - cub meal,4.00,250,11,2,0,35,400,26,1,12,12
string bean chicken breast,5.60,210,12,2,0,30,560,13,5,5,12
string bean chicken breast - cub meal,4.20,160,9,1.5,0,25,420,10,4,4,9
sweetfire chicken breast,5.80,360,15,3,0,45,370,40,2,19,15
sweetfire chicken breast - cub meal,4.40,270,11,2.5,0,35,280,30,2,14,11
sweet & sour chicken breast,5.50,300,12,3,0,25,260,40,1,24,10
sweet & sour chicken breast - cub meal,4.10,270,10,2,0,20,220,35,1,21,9
beijing beef,5.60,480,27,5,0,35,600,46,2,21,14
beijing beef - cub meal,4.20,360,20,4,0,25,450,35,2,16,11
Black Pepper Angus Steak entree,5.10,210,10,2.5,0,45,560,13,1,7,19
Black Pepper Angus Steak - cub meal,3.85,160,8,2,0,35,420,10,1,5,14
broccoli beef,5.40,150,7,1.5,0,12,520,13,2,7,9
broccoli beef - cub meal,4.10,110,6,1,0,10,400,10,2,5,7
chili crisp shrimp,4.00,210,10,2,0,100,340,19,2,1,13
chili crisp shrimp cub meal,3.00,160,7.5,1.5,0,75,255,14,1.5,1,10
honey walnut shrimp,3.70,360,24,3.5,0,60,590,27,1,8,11
honey walnut shrimp - cub meal,2.00,200,13,2,0,30,320,15,1,4,6
wok-fired shrimp,6.00,190,5,1,0,140,1140,19,1,15,17
wok-fired shrimp - cub meal,4.50,140,4,0.5,0,105,860,15,1,11,13
golden treasure shrimp,5.00,360,18,3,0,100,440,35,2,14,14
golden treasure shrimp - cub meal,2.75,210,10,1.5,0,60,250,20,1,8,8
steamed ginger fish,6.00,200,12,2.5,0,40,1990,8,0,6,15
steamed ginger fish - cub meal,2.00,70,4,1,0,15,660,3,0,2,5
chicken egg roll (1 roll),2.75,200,10,2,0,20,340,20,2,2,6
chicken potsticker (3 pcs),3.30,160,6,1.5,0,20,250,20,1,2,6
cream cheese rangoon (3 pcs),2.40,190,8,5,0,35,180,24,2,1,5
vegetable spring roll (2 rolls),3.50,240,14,2,0,0,560,24,2,0,4
"Orange Chicken Cub Meal (white rice, super greens, orange chicken, apple crisps, bottled water)",9.5,580,17,4,0,60,705,84,5,30,22
"Grilled Teriyaki Chicken Cub Meal (chow mein, super greens, grilled teriyaki chicken, apple crisps, bottled water)",9.3,400,16,3,0,120,700,36,5,16,28
"Broccoli Beef Cub Meal (white rice, super greens, broccoli beef, apple crisps, bottled water)",9.5,300,7,1,0,10,500,49,6,13,11
teriyaki sauce,1.80,70,0,0,0,0,380,16,0,14,0
apple pie roll,1.94,150,3,1,0,0,90,30,1,13,2
sweet & sour sauce,1.80,70,0,0,0,0,115,21,0,20,0
chili sauce,0.25,10,0,0,0,0,125,2,0,2,0
soy sauce,0.21,5,0,0,0,0,375,0,0,0,0
potsticker sauce,0.40,10,0,0,0,0,290,3,0,2,0
hot mustard,0.25,10,1,0,0,0,115,0,0,0,0
plum sauce,0.25,15,0,0,0,0,55,3,0,3,0
fortune cookie,0.18,20,0,0,0,0,0,5,0,2,0
chocolate chunk cookie,1.13,160,7,3,0,5,125,25,1,14,2
Tree Top Apple Crisps,0.34,40,0,0,0,0,0,10,2,7,0
hot & sour soup - cup,12.20,120,5,0.5,0,65,880,14,1,4,7
hot & sour soup - bowl,17.40,170,6,1,0,90,1260,20,1,6,10
barq's root beer - large,42.00,560,0,0,0,0,190,153,0,152,0
barq's root beer - small,22.00,290,0,0,0,0,95,80,0,80,0
barq's root beer - kids,12.00,160,0,0,0,0,55,44,0,44,0
black tea - large,40.00,10,0,0,0,0,35,3,0,0,0
black tea - medium,32.00,10,0,0,0,0,25,3,0,0,0
black tea - small,22.00,5,0,0,0,0,20,2,0,0,0
black tea - kids,12.00,5,0,0,0,0,10,1,0,0,0
cherry coca-cola - large,42.00,540,0,0,0,0,140,147,0,147,0
cherry coca-cola - medium,30.00,380,0,0,0,0,105,105,0,105,0
cherry coca-cola - small,22.00,280,0,0,0,0,75,77,0,77,0
cherry coca-cola - kids,12.00,150,0,0,0,0,40,42,0,42,0
coca-cola - large,42.00,510,0,0,0,0,135,140,0,140,0
coca-cola - medium,30.00,370,0,0,0,0,95,100,0,100,0
coca-cola - small,22.00,270,0,0,0,0,70,73,0,73,0
coca-cola - kids,12.00,150,0,0,0,0,40,40,0,40,0
coca-cola zero sugar - large,42.00,0,0,0,0,0,140,1,0,0,0
coca-cola zero sugar - medium,30.00,0,0,0,0,0,100,0,0,0,0
coca-cola zero sugar - small,22.00,0,0,0,0,0,75,0,0,0,0
coca-cola zero sugar - kids,12.00,0,0,0,0,0,40,0,0,0,0
diet coke - large,42.00,0,0,0,0,0,170,1,0,0,0
diet coke - medium,30.00,0,0,0,0,0,125,1,0,0,0
diet coke - small,22.00,0,0,0,0,0,90,1,0,0,0
diet coke - kids,12.00,0,0,0,0,0,50,0,0,0,0
dr pepper - large,42.00,500,0,0,0,0,150,137,0,137,0
dr pepper - medium,30.00,360,0,0,0,0,110,98,0,98,0
dr pepper - small,22.00,260,0,0,0,0,80,72,0,70,0
dr pepper - kids,12.00,140,0,0,0,0,45,39,0,38,0
fanta fruit punch - large,42.00,530,0,0,0,0,200,145,0,143,0
fanta fruit punch - medium,30.00,380,0,0,0,0,150,104,0,102,0
fanta fruit punch - small,22.00,280,0,0,0,0,105,76,0,75,0
fanta fruit punch - kids,12.00,150,0,0,0,0,60,42,0,41,0
fanta orange - large,42.00,520,0,0,0,0,140,142,0,139,0
