Name,Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Caffeine (mg)
"Brewed Coffee (Dark Roast, Short)",236,3,0.1,0,0,0,5,0,0,0,0.3,130
"Brewed Coffee (Dark Roast, Tall)",354,4,0.1,0,0,0,10,0,0,0,0.5,193
"Brewed Coffee (Dark Roast, Grande)",473,5,0.1,0,0,0,10,0,0,0,1,260
"Brewed Coffee (Dark Roast, Venti)",591,5,0.1,0,0,0,10,0,0,0,1,340
"Brewed Coffee Traveler (Dark Roast)",236,3,0.1,0,0,0,5,0,0,0,0.3,130
"Brewed Coffee (Decaf Pike Place Roast, Short)",236,3,0.1,0,0,0,5,0,0,0,0.3,15
"Brewed Coffee (Decaf Pike Place Roast, Tall)",354,4,0.1,0,0,0,10,0,0,0,0.5,20
"Brewed Coffee (Decaf Pike Place Roast, Grande)",473,5,0.1,0,0,0,10,0,0,0,1,25
"Brewed Coffee (Decaf Pike Place Roast, Venti)",591,5,0.1,0,0,0,10,0,0,0,1,30
"Brewed Coffee Traveler (Decaf Pike Place Roast)",236,3,0.1,0,0,0,5,0,0,0,0.3,15
"Brewed Coffee (Medium Roast, Short)",236,3,0.1,0,0,0,5,0,0,0,0.3,155
"Brewed Coffee (Medium Roast, Tall)",354,4,0.1,0,0,0,10,0,0,0,0.5,235
"Brewed Coffee (Medium Roast, Grande)",473,5,0.1,0,0,0,10,0,0,0,1,310
"Brewed Coffee (Medium Roast, Venti)",591,5,0.1,0,0,0,10,0,0,0,1,410
"Brewed Coffee Traveler (Medium Roast)",236,3,0.1,0,0,0,5,0,0,0,0.3,155
"Brewed Coffee (True North Blend Blonde Roast, Short)",236,3,0.1,0,0,0,5,0,0,0,0.3,180
"Brewed Coffee (True North Blend Blonde Roast, Tall)",354,4,0.1,0,0,0,10,0,0,0,0.5,270
"Brewed Coffee (True North Blend Blonde Roast, Grande)",473,5,0.1,0,0,0,10,0,0,0,1,360
"Brewed Coffee (True North Blend Blonde Roast, Venti)",591,5,0.1,0,0,0,10,0,0,0,1,475
"Brewed Coffee Traveler (True North Blend Blonde Roast)",236,3,0.1,0,0,0,5,0,0,0,0.3,180
"Caffè Misto (Short, Nonfat)",236,35,0.1,0.1,0,0,45,5,0,5,4,75
"Caffè Misto (Short, 2%)",236,50,2,1,0.1,10,50,5,0,5,4,75
"Caffè Misto (Short, Whole)",236,70,3.5,2,0.1,10,50,5,0,5,3,75
"Caffè Misto (Short, Soy)",236,40,1.5,0.2,0,0,40,3,0,2,3,75
"Caffè Misto (Short, Coconut)",236,40,2.5,2.5,0,0,45,4,0,3,0.4,75
"Caffè Misto (Tall, Nonfat)",354,60,0.2,0.1,0,5,70,8,0,8,6,115
"Caffè Misto (Tall, 2%)",354,80,3,1.5,0.1,15,80,8,0,8,5,115
"Caffè Misto (Tall, Whole)",354,100,5,3,0.2,15,70,8,0,8,5,115
"Caffè Misto (Tall, Soy)",354,60,2.5,0.3,0,0,60,5,1,4,4,115
