Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Bacon Club Chalupa,440,27,5,0,50,840,31,2,3,20
Blue Raspberry Freeze (16 oz),120,0,0,0,0,35,30,0,30,0
Blue Raspberry Freeze (20 oz),150,0,0,0,0,40,38,0,38,0
Loaded Nacho Taco,250,12,4.5,0,25,610,24,3,2,10
Midnight Berry Freeze (16 oz),140,0,0,0,0,35,35,0,34,0
Midnight Berry Freeze (20 oz),170,0,0,0,0,40,43,0,42,0
Nacho Fries,320,18,1.5,0,<5,630,35,4,2,4
Nacho Fries BellGrande,710,40,6,0,30,1440,73,10,4,13
Black Bean Chalupa (Online Exclusive),330,15,3,0,10,430,39,5,3,10
Black Bean Quesarito (Online Exclusive),630,29,10,0,35,1260,73,7,5,19
Quesarito (Online Exclusive),650,33,12,0.5,55,1390,67,6,5,22
Chalupa Supreme (Beef),350,18,5,0,25,560,33,4,3,13
Chalupa Supreme (Chicken),330,15,3.5,0,35,560,31,2,3,16
Chalupa Supreme (Steak),330,16,4,0,30,530,32,2,3,15
Cheesy Gordita Crunch,500,28,10,0.5,55,850,41,5,4,20
Crunchy Taco,170,9,3.5,0,25,310,13,3,<1,8
Crunchy Taco Supreme,190,11,4.5,0,25,340,15,3,2,8
Loaded Nacho Taco,250,12,4.5,0,25,610,24,3,2,10
Nacho Cheese Doritos Locos Taco,170,9,3.5,0,25,360,13,3,<1,8
Nacho Cheese Doritos Locos Taco Supreme,190,11,4.5,0,30,380,15,3,2,8
Soft Taco (Beef),180,9,4,0,25,500,17,3,1,9
Soft Taco (Chicken),160,5,2.5,0,30,500,16,1,1,12
Soft Taco Supreme (Beef),210,10,5,0,25,520,20,3,2,10
Soft Taco Supreme (Chicken),180,7,3.5,0,35,520,18,2,2,13
"Bean Burrito ",350,9,3.5,0,5,1000,54,11,3,13
Beefy 5-Layer Burrito,490,18,7,0,30,1250,63,9,5,18
Burrito Supreme (Beef),390,14,6,0,25,1110,51,9,4,16
Burrito Supreme (Chicken),370,11,4.5,0,35,1110,49,8,4,19
Burrito Supreme (Steak),370,12,5,0,30,1090,49,7,4,18
Chili Cheese Burrito (regional),370,17,8,0,35,970,40,4,2,16
Quesarito (Beef),650,33,12,0.5,55,1390,67,6,5,22
Quesarito (Chicken),620,29,11,0,65,1390,66,4,4,25
Quesarito (Steak),630,30,11,0,60,1370,66,4,4,24
"Chips and Nacho Cheese Sauce ",220,13,1.5,0,<5,250,24,2,2,2
Nacho Fries  (New),320,18,1.5,0,<5,630,35,4,2,4
Nacho Fries BellGrande (New),710,40,6,0,30,1440,73,10,4,13
Nachos BellGrande (Beef),740,38,7,0,25,1050,82,15,5,16
Nachos BellGrande (Chicken),720,35,6,0,35,1050,81,14,5,20
Nachos BellGrande (Steak),720,36,6,0,30,1030,81,14,5,19
Beef Quesarito,650,33,12,0.5,55,1390,67,6,5,22
"Black Bean Quesarito ",630,29,10,0,35,1260,73,7,5,19
"Quesadilla - Cheese ",470,25,12,0.5,50,990,37,4,2,19
Quesadilla (Chicken),510,26,12,0.5,75,1250,38,4,2,27
Quesadilla (Steak),520,27,12,0.5,70,1230,38,4,2,27
Bacon Club Chalupa - Specialties,440,27,5,0,50,840,31,2,3,20
Black Bean Chalupa - Specialties,330,15,3,0,10,430,39,5,3,10
Black Bean Crunchwrap Supreme - Specialties,510,17,4.5,0,5,1080,77,8,6,13
Black Bean Quesarito - Specialties,630,29,10,0,35,1260,73,7,5,19
Chalupa Supreme - Specialties,350,18,5,0,25,560,33,4,3,13
Cheesy Gordita Crunch - Specialties,500,28,10,0.5,55,850,41,5,4,20
Cheesy Roll Up - Specialties,180,9,5,0,20,430,15,2,<1,9
Crunchwrap Supreme - Specialties,530,21,6,0,25,1200,71,6,6,16
Crunchy Taco - Specialties,170,9,3.5,0,25,310,13,3,<1,8
