Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Baconator,950,62,24.0,3.0,205,1630,40,2,8,59
Dave's Double,810,51,20.0,3.0,175,1280,41,3,8,49
Dave's Single,570,34,13.0,1.5,100,1110,40,3,9,30
Dave's Triple,1090,72,30.0,4.0,260,1650,43,3,9,71
Double Stack,390,21,9.0,1.5,90,740,26,1,6,25
Jr. Bacon Cheeseburger,380,22,8.0,1.0,65,680,25,1,5,19
Jr. Cheeseburger,280,13,6.0,1.0,50,660,26,1,6,16
Jr. Cheeseburger Deluxe,340,19,7.0,1.0,55,660,27,2,7,16
Son of Baconator,630,39,15.0,1.5,125,1280,37,2,7,34
3 Piece Chicken Tenders,330,16,2.5,0.0,75,1010,22,0,0,24
4 Piece Chicken Nuggets,170,11,2.0,0.0,35,340,10,0,0,9
4 Piece Chicken Tenders,430,21,3.5,0.0,100,1350,29,0,1,32
6 Picece Chicken Nuggets,250,16,3.5,0.0,50,510,14,1,0,13
6 Piece Chicken Tenders,650,32,5.0,0.0,150,2020,43,0,1,48
10 Piece Chicken Nuggets,420,27,5.0,0.0,80,850,24,1,0,22
Crispy Chicken BLT,420,23,6.0,0.0,50,950,35,2,5,20
Crispy Chicken Sandwich,330,16,3.0,0.0,30,600,33,2,4,14
Grilled Asiago Ranch Club,530,23,7.0,0.0,120,1220,36,3,6,43
Grilled Chicken Sandwich,370,10,2.0,0.0,90,830,38,3,8,34
Grilled Chicken Wrap,270,10,3.5,0.0,55,640,24,2,3,20
Homestyle Asiago Ranch Chicken Club,660,34,9.0,0.0,100,1650,52,3,7,38
Homestyle Chicken Sandwich,510,22,4.0,0.0,70,1150,51,3,6,28
S'Awesome Sauce,120,12,2.0,0.0,0,170,4,1,3,1
Spicy Asiago Ranch Club,670,32,9.0,0.0,100,1530,55,4,6,38
Spicy Chicken Sandwich,510,20,3.5,0.0,65,1030,54,4,6,29
Spicy Chicken Wrap,370,20,5.0,0.0,50,850,30,2,2,18
Artisan Egg Sandwich with Bacon,320,17,8.0,0.0,245,750,25,1,4,18
Artisan Egg Sandwich with Sausage,480,33,13.0,0.0,275,980,27,1,4,21
Bacon Breakfast Bowl,510,28,9.0,0.0,245,1390,44,4,2,19
Biggie Breakfast Sandwich,610,40,15.0,0.0,290,1400,37,2,7,27
Fresh-Baked Biscuit with Applewood Smoked Bacon,410,24,13.0,0.0,235,970,34,1,5,15
Fresh Baked Biscuit with Natural Sausage,590,41,19.0,0.0,270,1270,36,1,6,20
Gravy and Sausage Bowl,450,22,6.0,0.0,220,1260,50,4,2,12
Honey Butter Chicken Biscuit,500,26,12.0,0.0,50,1120,48,1,9,19
Sausage and Egg Burrito,360,20,8.0,0.0,210,920,29,1,2,17
Sausage and Gravy Biscuit,490,29,14.0,0.0,20,1400,49,2,6,8
Sausage Biscuit,480,33,15.0,0.0,50,1010,35,1,5,12
Sausage Breakfast Bowl,640,42,14.0,0.0,270,1540,46,4,3,21
"Seasoned Home-Style Potatoes, Large",360,13,2.5,0.0,0,1080,57,6,1,5
"Seasoned Home-Style Potatoes, Medium",250,9,1.5,0.0,0,750,39,4,1,4
"Seasoned Home-Style Potatoes, Small",230,8,1.5,0.0,0,680,35,4,0,3
Two Sausage and Egg Burritos,720,41,16.0,0.0,420,1830,59,2,5,34
Two Sausage Biscuits,960,65,31.0,0.0,95,2020,70,3,10,23
