Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
The Original Slider,55,140,7,2.5,0,10,380,16,1,2,6
Double Original Slider,98,250,13,4.5,1,20,690,24,2,3,11
Slider (Smoked Cheddar Cheese),63,170,9,4,0.5,15,510,16,1,2,8
Slider (Double Cheese),113,300,17,8,1,30,960,24,2,4,14
Slider (Smoked Cheddar Cheese),64,180,10,4.5,0,20,500,16,1,2,8
Slider (Smoked Cheddar Cheese),65,180,10,4.5,0,20,540,18,1,3,8
Double Slider (Smoked Cheddar Cheese),116,320,19,9,1,40,1030,26,2,3,15
Slider (Jalapeño Cheese),61,170,9,4,0.5,15,490,16,1,2,8
Double Slider (Jalapeño Cheese),118,320,18,8,1,35,1000,27,2,6,15
Slider (Bacon Cheese),67,220,14,6,0.5,25,650,15,1,2,11
Slider (Bacon Cheese),71,230,14,6,0.5,25,700,17,1,3,11
Slider (Bacon Jalapeño Cheese),68,230,15,6,0,30,690,16,1,2,11
Slider (Bacon Smoked Cheddar Cheese),68,230,15,6,0,30,690,16,1,2,11
Sloppy Joe Slider (Smoked Cheddar Cheese),79,190,9,4,0,30,640,19,2,6,10
Smokey Joe Slider (Smoked Cheddar Cheese),85,220,11,4,0,30,650,22,2,5,10
Panko Fish Slider (Plain),100,320,20,3.5,0,25,320,25,1,3,9
Panko Fish Slider (Cheese),108,340,22,4.5,0,30,460,25,1,3,11
Panko Fish Slider (Jalapeno Cheese),109,350,23,5,0,35,490,26,1,3,11
Panko Fish Slider (Cheddar Cheese),109,350,23,5,0,35,490,26,1,3,11
Surf & Turf Slider (Cheese),167,520,36,11,1,30,1020,31,3,3,21
Panko Surf & Turf Slider (Cheese),182,550,36,11,1,55,1050,34,2,4,21
Panko Surf & Turf Slider (Cheese),187,550,36,11,1,55,1100,36,2,5,21
Panko Surf & Turf Slider (Jalapeno Cheese),184,560,37,12,1,65,1110,36,2,4,22
Panko Surf & Turf Slider (Jalapeno Cheese),189,570,37,12,1,65,1170,38,2,5,22
Panko Surf & Turf Slider (Smoked Cheddar Cheese),184,560,37,12,1,65,1110,36,2,4,22
"Panko Surf & Turf Slider (Smoked Cheddar Cheese, New Jersey only)",189,570,37,12,1,65,1170,38,2,5,22
Veggie Slider (Plain),73,190,10,1,0,0,320,22,3,3,5
Veggie Slider (Ranch),92,320,23,3,0,<5,520,23,3,4,5
Veggie Slider (Honey Mustard),85,210,10,1,0,0,370,27,3,7,5
Chicken Ring Slider (Cheese),71,200,10,3,0,45,470,18,1,2,9
Chicken Ring Slider (Jalapeno Cheese),72,210,11,3.5,0,45,510,19,1,2,10
Chicken Ring Slider (Smoked Cheddar Cheese),72,210,11,3.5,0,45,510,19,1,2,10
Crispy Chicken Slider (Cheese),85,230,10,3,0,25,620,22,1,2,11
Crispy Chicken Slider (Jalapeno Cheese),86,230,11,3.5,0,30,660,23,1,2,11
Crispy Chicken Slider (Smoked Cheddar Cheese),86,230,11,3.5,0,30,660,23,1,2,11
Chicken & Waffles Slider (Crispy),123,350,18,7,0,65,650,36,0,14,9
Bacon & Smoked Cheddar Crispy Chicken Slider ,93,290,16,5,0,40,840,23,1,2,14
Impossible Slider (Smoked Cheddar Cheese),92,230,13,6,0,10,700,17,1,2,10
Impossible Slider (No Cheese),83,190,10,4,0,0,530,16,1,2,8
Impossible Slider (American Cheese) (Las Vegas only),90,220,12,5,0,10,660,17,1,2,9
Impossible Slider (Dair-Free Cheddar Cheese),91,210,11,5,0,0,590,18,1,2,8
French Fries (Small),148,350,21,4.5,0,0,40,34,3,1,5
French Fries (Medium),266,630,39,9,0,0,70,60,6,3,9
French Fries (Sack),353,810,49,11,0,0,95,81,8,4,12
Cheese Fries,199,400,27,5,0,0,350,35,3,2,4
Loaded Fries,163,460,38,8,0,20,900,20,2,3,4
Onion Chips (Small),124,480,36,6,0,0,690,33,6,4,4
Onion Chips (Medium),262,930,65,11,0,0,1550,73,13,8,8
Onion Chips (Sack),349,1350,101,17,0,0,1950,92,16,11,11
Onion Rings (Small),141,480,33,5,0,0,580,40,2,7,6
Onion Rings (Sack),262,890,61,10,0,0,1070,74,3,14,11
Mozzarella Cheese Sticks (3 Sticks),138,460,33,9,0,30,990,26,1,3,12
Mozzarella Cheese Sticks (5 Sticks),211,760,55,15,0.5,50,1560,40,2,4,21
Mozzarella Cheese Sticks (10 Sticks),394,1490,111,31,1,100,3110,77,4,6,41
Mac & Cheese Nibblers (Small),120,330,20,5,0,15,830,31,3,5,8
Mac & Cheese Nibblers (Medium),287,800,47,13,0,30,1980,74,6,10,18
Mac & Cheese Nibblers (Sack),479,1340,79,21,0,50,3300,123,10,17,30
Fish Nibblers (Small),141,320,16,3,0,10,700,28,1,1,16
Fish Nibblers (Medium),262,590,29,5,0,20,1300,51,2,2,30
Fish Nibblers (Sack),483,1100,53,10,0,35,2390,95,3,3,55
Chicken Rings (3 pc.),57,160,10,2.5,0,55,300,6,0,0,9
Chicken Rings (6 pc.),114,320,20,4.5,0,105,610,12,0,0,18
Chicken Rings (9 pc.),171,470,31,7,0,160,910,18,1,0,26
Chicken Rings (20 pc.),380,1050,68,15,0,360,2020,41,2,1,58
"Breakfast Slider (Egg, Cheese)",81,200,12,4,0,170,370,15,1,2,9
"Breakfast Slider (Egg, Jalapeño Cheese)",82,210,13,4,0,170,400,15,1,2,9
"Breakfast Slider (Egg, Cheddar Cheese)",82,210,13,4.5,0,175,400,15,1,2,10
"Breakfast Slider (Sausage, Egg, Cheese)",118,350,26,9,0,195,680,15,1,2,14
"Breakfast Slider (Sausage, Egg, Jalapeño Cheese)",119,360,27,10,0,200,710,16,1,2,15
"Breakfast Slider (Sausage, Egg, Cheddar Cheese)",119,360,27,10,0,200,710,16,1,2,15
"Breakfast Slider (Bacon, Egg, Cheese)",88,260,17,6,0,180,560,15,1,2,12
"Breakfast Slider (Bacon, Egg, Jalapeño Cheese)",88,260,18,6,0,185,590,15,1,2,12
"Breakfast Slider (Bacon, Egg, Cheddar Cheese)",89,260,18,6,0,185,590,15,1,2,13
"Breakfast Slider (Bologna, Egg, Cheese)",109,350,24,8,0,200,870,17,1,3,15
"Breakfast Slider (Bologna, Egg, Jalapeño Cheese)",110,360,25,8,0,200,900,17,1,3,15
"Breakfast Slider (Bologna, Egg, Cheddar Cheese)",110,360,25,8,0,205,900,17,1,3,16
